Sample Number,ClassName,Snippet Number,Method,Exist
0,FontRenderContext,1,boolean contains(Object o),False
0,FontRenderContext,2,int size(),False
0,FontRenderContext,3,boolean isEmpty(),False
0,FontRenderContext,4,Object get(int index),False
0,FontRenderContext,5,int indexOf(Object o),False
1,GlyphJustificationInfo,1,GlyphJustificationInfo getJustification(),False
1,GlyphJustificationInfo,2,float getAdvance(),False
1,GlyphJustificationInfo,3,float getAdvanceX(),False
1,GlyphJustificationInfo,4,float getAdvanceY(),False
1,GlyphJustificationInfo,5,float getBearingX(),False
1,GlyphJustificationInfo,6,float getBearingY(),False
2,GlyphMetrics,1,getAdvance(),False
2,GlyphMetrics,2,getBounds(),False
2,GlyphMetrics,3,getBounds2D(),False
2,GlyphMetrics,4,getLSB(),False
2,GlyphMetrics,5,getRSB(),False
2,GlyphMetrics,6,getWidth(),False
2,GlyphMetrics,7,getXOrigin(),False
2,GlyphMetrics,8,getYOrigin(),False
2,GlyphMetrics,9,isZeroAdvance(),False
2,GlyphMetrics,10,getLSB(),False
2,GlyphMetrics,11,getRSB(),False
2,GlyphMetrics,12,getWidth(),False
2,GlyphMetrics,13,getXOrigin(),False
2,GlyphMetrics,14,getYOrigin(),False
2,GlyphMetrics,15,isZeroAdvance(),False
3,GlyphVector,1,"GlyphVector getGlyphs(int start, int length)",False
3,GlyphVector,2,int getNumGlyphs(),True
3,GlyphVector,3,GlyphMetrics getGlyphMetrics(int index),True
3,GlyphVector,4,Rectangle2D getGlyphOutline(int index),False
3,GlyphVector,5,Rectangle2D getGlyphBounds(int index),False
4,GraphicAttribute,1,boolean contains(Object o),False
4,GraphicAttribute,2,boolean remove(Object o),False
4,GraphicAttribute,3,boolean addAll(Collection<? extends E> c),False
4,GraphicAttribute,4,void clear(),False
4,GraphicAttribute,5,E get(int index),False
5,ImageGraphicAttribute,1,boolean add(E e),False
5,ImageGraphicAttribute,2,"void add(int index, E element)",False
5,ImageGraphicAttribute,3,boolean addAll(Collection<? extends E> c),False
5,ImageGraphicAttribute,4,"boolean addAll(int index, Collection<? extends E> c)",False
5,ImageGraphicAttribute,5,void clear(),False
6,LayoutPath,1,boolean add(E e),False
6,LayoutPath,2,"void add(int index, E element)",False
6,LayoutPath,3,boolean addAll(Collection<? extends E> c),False
6,LayoutPath,4,"boolean addAll(int index, Collection<? extends E> c)",False
6,LayoutPath,5,void clear(),False
7,LineBreakMeasurer,1,int getPosition(),True
7,LineBreakMeasurer,2,int getPosition(TextLayout layout),False
7,LineBreakMeasurer,3,TextLayout nextLayout(int width),False
7,LineBreakMeasurer,4,"TextLayout nextLayout(int width, int start, int limit)",False
7,LineBreakMeasurer,5,boolean isFullLayout(TextLayout layout),False
7,LineBreakMeasurer,6,"int getPosition(TextLayout layout, int index)",False
7,LineBreakMeasurer,7,"int getPosition(TextLayout layout, int start, int limit)",False
7,LineBreakMeasurer,8,"int getPosition(TextLayout layout, int start, int limit, int index)",False
7,LineBreakMeasurer,9,"int getPosition(TextLayout layout, int start, int limit, int index, int offset)",False
7,LineBreakMeasurer,10,"int getPosition(TextLayout layout, int start, int limit, int index, int offset, int direction)",False
7,LineBreakMeasurer,11,"int getPosition(TextLayout layout, int start, int limit, int index, int offset, int direction, int granularity)",False
7,LineBreakMeasurer,12,"int getPosition(TextLayout layout, int start, int limit, int index, int offset, int direction, int granularity, int alignment)",False
7,LineBreakMeasurer,13,"int getPosition(TextLayout layout, int start, int limit, int index, int offset, int direction, int granularity, int alignment, int min, int max)",False
7,LineBreakMeasurer,14,"int getPosition(TextLayout layout, int start, int limit, int index, int offset, int direction, int granularity, int alignment, int min, int max, int preferred)",False
7,LineBreakMeasurer,15,"int getPosition(TextLayout layout, int start, int limit, int index, int offset, int direction, int granularity, int alignment, int min, int max, int preferred, int preferredAlignment)",False
8,LineMetrics,1,float getAscent(),True
8,LineMetrics,2,float getDescent(),True
8,LineMetrics,3,float getLeading(),True
8,LineMetrics,4,float getHeight(),True
8,LineMetrics,5,float getStrikethroughOffset(),True
8,LineMetrics,6,float getStrikethroughThickness(),True
8,LineMetrics,7,float getUnderlineOffset(),True
8,LineMetrics,8,float getUnderlineThickness(),True
8,LineMetrics,9,float getStrikethroughOffset(),True
8,LineMetrics,10,float getStrikethroughThickness(),True
9,NumericShaper,1,boolean contains(Object o),False
9,NumericShaper,2,boolean remove(Object o),False
9,NumericShaper,3,boolean addAll(Collection<? extends E> c),False
9,NumericShaper,4,boolean removeAll(Collection<?> c),False
9,NumericShaper,5,boolean retainAll(Collection<?> c),False
10,ShapeGraphicAttribute,1,boolean contains(Object o),False
10,ShapeGraphicAttribute,2,boolean remove(Object o),False
10,ShapeGraphicAttribute,3,boolean addAll(Collection<? extends E> c),False
10,ShapeGraphicAttribute,4,void clear(),False
10,ShapeGraphicAttribute,5,E get(int index),False
11,TextAttribute,1,boolean add(E e),False
11,TextAttribute,2,"void add(int index, E element)",False
11,TextAttribute,3,boolean addAll(Collection<? extends E> c),False
11,TextAttribute,4,"boolean addAll(int index, Collection<? extends E> c)",False
11,TextAttribute,5,void clear(),False
12,TextHitInfo,1,boolean isLeading(),False
12,TextHitInfo,2,boolean isTrailing(),False
12,TextHitInfo,3,boolean isInsertionPoint(),False
12,TextHitInfo,4,boolean isVisible(),False
12,TextHitInfo,5,int getInsertionIndex(),True
12,TextHitInfo,6,int getInsertionOffset(),False
12,TextHitInfo,7,int getInsertionDirection(),False
12,TextHitInfo,8,int getInsertionBaseline(),False
12,TextHitInfo,9,int getInsertionLeading(),False
12,TextHitInfo,10,int getInsertionTrailing(),False
12,TextHitInfo,11,int getInsertionGlyph(),False
12,TextHitInfo,12,int getInsertionGlyphIndex(),False
12,TextHitInfo,13,int getInsertionGlyphCount(),False
12,TextHitInfo,14,int getInsertionGlyphMetrics(),False
