FileName,Compilable,Runnable,Correct
Arc2D_2,True,True,True
Arc2D_3,True,True,True
Arc2D_5,True,True,True
Arc2D_Double_2,True,True,True
Arc2D_Double_3,True,True,True
Arc2D_Double_4,True,True,True
Arc2D_Double_5,True,True,True
Arc2D_Float_17,True,True,True
Area_2,True,True,True
Area_3,True,True,True
Area_4,True,True,True
CubicCurve2D_2,True,True,True
CubicCurve2D_3,True,True,True
CubicCurve2D_4,True,True,True
CubicCurve2D_5,True,True,True
CubicCurve2D_6,True,True,True
CubicCurve2D_7,True,True,True
CubicCurve2D_8,True,True,True
CubicCurve2D_9,True,True,True
CubicCurve2D_Double_2,True,True,True
CubicCurve2D_Double_3,True,True,True
CubicCurve2D_Double_4,True,True,True
CubicCurve2D_Double_5,True,True,True
CubicCurve2D_Double_6,True,True,True
CubicCurve2D_Double_7,True,True,True
CubicCurve2D_Double_8,True,True,True
CubicCurve2D_Double_9,True,True,True
CubicCurve2D_Double_10,True,True,True
CubicCurve2D_Float_10,True,True,True
Dimension2D_1,False,False,False
Dimension2D_2,False,False,False
Ellipse2D_3,True,True,True
Ellipse2D_4,True,True,True
FlatteningPathIterator_2,False,False,False
FlatteningPathIterator_3,False,False,False
FlatteningPathIterator_4,False,False,False
FlatteningPathIterator_5,False,False,False
Line2D_3,True,True,True
Line2D_4,True,True,True
Line2D_5,True,True,True
Line2D_6,True,True,True
Line2D_Double_1,True,True,True
Line2D_Double_2,True,True,True
Line2D_Double_3,True,True,True
Line2D_Double_4,True,True,True
Line2D_Double_5,True,True,True
Path2D_Double_12,True,True,True
Point2D_1,True,True,True
Point2D_3,True,True,True
Point2D_5,True,True,True
Point2D_6,True,True,True
Point2D_7,True,True,True
Point2D_8,True,True,True
Point2D_9,True,True,True
Point2D_10,True,True,True
Point2D_Double_1,True,True,True
Point2D_Double_2,True,True,True
Point2D_Double_3,True,True,True
Point2D_Float_3,True,True,True
QuadCurve2D_1,True,True,True
QuadCurve2D_2,True,True,True
QuadCurve2D_3,True,True,True
QuadCurve2D_4,False,False,False
QuadCurve2D_5,True,True,True
QuadCurve2D_6,False,False,False
QuadCurve2D_7,True,True,True
QuadCurve2D_Double_1,True,True,True
QuadCurve2D_Double_3,True,True,True
QuadCurve2D_Double_4,True,True,True
QuadCurve2D_Double_5,True,True,True
QuadCurve2D_Double_6,True,True,True
QuadCurve2D_Float_1,True,True,True
QuadCurve2D_Float_3,False,False,False
QuadCurve2D_Float_4,False,False,False
QuadCurve2D_Float_5,False,False,False
QuadCurve2D_Float_6,True,True,True
Rectangle2D_7,True,True,True
Rectangle2D_9,True,True,True
Rectangle2D_11,True,True,True
Rectangle2D_13,True,True,True
Rectangle2D_Double_3,True,True,True
Rectangle2D_Double_4,True,True,True
Rectangle2D_Double_5,True,True,True
Rectangle2D_Double_6,True,True,True
Rectangle2D_Double_11,True,True,True
Rectangle2D_Double_12,True,True,True
RectangularShape_3,False,False,False
RectangularShape_6,True,True,True
RoundRectangle2D_2,True,True,True
RoundRectangle2D_3,True,True,True
RoundRectangle2D_8,True,True,True
RoundRectangle2D_10,True,True,True
RoundRectangle2D_15,True,True,True
RoundRectangle2D_Double_2,True,True,True
RoundRectangle2D_Double_3,True,True,True
RoundRectangle2D_Double_4,True,True,True
RoundRectangle2D_Double_5,True,True,True
RoundRectangle2D_Double_6,True,True,True
RoundRectangle2D_Double_7,True,True,True
RoundRectangle2D_Float_4,True,True,True
