ClassName,URL
BeanDescriptor,https://docs.oracle.com/javase/8/docs/api/java/beans/BeanDescriptor.html
Beans,https://docs.oracle.com/javase/8/docs/api/java/beans/Beans.html
DefaultPersistenceDelegate,https://docs.oracle.com/javase/8/docs/api/java/beans/DefaultPersistenceDelegate.html
Encoder,https://docs.oracle.com/javase/8/docs/api/java/beans/Encoder.html
EventHandler,https://docs.oracle.com/javase/8/docs/api/java/beans/EventHandler.html
EventSetDescriptor,https://docs.oracle.com/javase/8/docs/api/java/beans/EventSetDescriptor.html
Expression,https://docs.oracle.com/javase/8/docs/api/java/beans/Expression.html
FeatureDescriptor,https://docs.oracle.com/javase/8/docs/api/java/beans/FeatureDescriptor.html
IndexedPropertyChangeEvent,https://docs.oracle.com/javase/8/docs/api/java/beans/IndexedPropertyChangeEvent.html
IndexedPropertyDescriptor,https://docs.oracle.com/javase/8/docs/api/java/beans/IndexedPropertyDescriptor.html
Introspector,https://docs.oracle.com/javase/8/docs/api/java/beans/Introspector.html
MethodDescriptor,https://docs.oracle.com/javase/8/docs/api/java/beans/MethodDescriptor.html
ParameterDescriptor,https://docs.oracle.com/javase/8/docs/api/java/beans/ParameterDescriptor.html
PersistenceDelegate,https://docs.oracle.com/javase/8/docs/api/java/beans/PersistenceDelegate.html
PropertyChangeEvent,https://docs.oracle.com/javase/8/docs/api/java/beans/PropertyChangeEvent.html
PropertyChangeListenerProxy,https://docs.oracle.com/javase/8/docs/api/java/beans/PropertyChangeListenerProxy.html
PropertyChangeSupport,https://docs.oracle.com/javase/8/docs/api/java/beans/PropertyChangeSupport.html
PropertyDescriptor,https://docs.oracle.com/javase/8/docs/api/java/beans/PropertyDescriptor.html
PropertyEditorManager,https://docs.oracle.com/javase/8/docs/api/java/beans/PropertyEditorManager.html
PropertyEditorSupport,https://docs.oracle.com/javase/8/docs/api/java/beans/PropertyEditorSupport.html
SimpleBeanInfo,https://docs.oracle.com/javase/8/docs/api/java/beans/SimpleBeanInfo.html
Statement,https://docs.oracle.com/javase/8/docs/api/java/beans/Statement.html
VetoableChangeListenerProxy,https://docs.oracle.com/javase/8/docs/api/java/beans/VetoableChangeListenerProxy.html
VetoableChangeSupport,https://docs.oracle.com/javase/8/docs/api/java/beans/VetoableChangeSupport.html
XMLDecoder,https://docs.oracle.com/javase/8/docs/api/java/beans/XMLDecoder.html
XMLEncoder,https://docs.oracle.com/javase/8/docs/api/java/beans/XMLEncoder.html
