Sample Number,ClassName,Snippet Number,Method,Exist
0,BeanContextChildSupport,1,boolean add(E e),False
0,BeanContextChildSupport,2,boolean addAll(Collection<? extends E> c),False
0,BeanContextChildSupport,3,void addBeanContextListener(BeanContextChildSupport.BeanContextListener l),False
0,BeanContextChildSupport,4,void removeBeanContextListener(BeanContextChildSupport.BeanContextListener l),False
0,BeanContextChildSupport,5,void addBeanContextChildListener(BeanContextChildSupport.BeanContextChildListener l),False
0,BeanContextChildSupport,6,void removeBeanContextChildListener(BeanContextChildSupport.BeanContextChildListener l),False
1,BeanContextEvent,1,boolean add(E e),False
1,BeanContextEvent,2,boolean addAll(Collection<? extends E> c),False
1,BeanContextEvent,3,void clear(),False
1,BeanContextEvent,4,boolean contains(Object o),False
1,BeanContextEvent,5,boolean containsAll(Collection<?> c),False
2,BeanContextMembershipEvent,1,boolean add(E e),False
2,BeanContextMembershipEvent,2,boolean addAll(Collection<? extends E> c),False
2,BeanContextMembershipEvent,3,void clear(),False
2,BeanContextMembershipEvent,4,boolean contains(Object o),True
2,BeanContextMembershipEvent,5,boolean containsAll(Collection<?> c),False
2,BeanContextMembershipEvent,6,boolean equals(Object o),False
2,BeanContextMembershipEvent,7,E get(int index),False
2,BeanContextMembershipEvent,8,int indexOf(Object o),False
2,BeanContextMembershipEvent,9,boolean isEmpty(),False
2,BeanContextMembershipEvent,10,Iterator<E> iterator(),False
2,BeanContextMembershipEvent,11,int lastIndexOf(Object o),False
2,BeanContextMembershipEvent,12,ListIterator<E> listIterator(),False
2,BeanContextMembershipEvent,13,ListIterator<E> listIterator(int index),False
2,BeanContextMembershipEvent,14,boolean remove(Object o),False
2,BeanContextMembershipEvent,15,E remove(int index),False
2,BeanContextMembershipEvent,16,boolean removeAll(Collection<?> c),False
2,BeanContextMembershipEvent,17,boolean retainAll(Collection<?> c),False
2,BeanContextMembershipEvent,18,"E set(int index, E element)",False
2,BeanContextMembershipEvent,19,int size(),True
2,BeanContextMembershipEvent,20,"List<E> subList(int fromIndex, int toIndex)",False
3,BeanContextServiceAvailableEvent,1,boolean isServiceAvailable(String serviceName),False
3,BeanContextServiceAvailableEvent,2,String getServiceName(),False
3,BeanContextServiceAvailableEvent,3,Object getSource(),False
3,BeanContextServiceAvailableEvent,4,void consume(),False
3,BeanContextServiceAvailableEvent,5,void consume(Object arg),False
4,BeanContextServiceRevokedEvent,1,boolean add(E e),False
4,BeanContextServiceRevokedEvent,2,boolean addAll(Collection<? extends E> c),False
4,BeanContextServiceRevokedEvent,3,void clear(),False
4,BeanContextServiceRevokedEvent,4,boolean contains(Object o),False
4,BeanContextServiceRevokedEvent,5,boolean containsAll(Collection<?> c),False
5,BeanContextServicesSupport,1,boolean add(E e),False
5,BeanContextServicesSupport,2,boolean addAll(Collection<? extends E> c),False
5,BeanContextServicesSupport,3,void clear(),False
5,BeanContextServicesSupport,4,boolean contains(Object o),False
5,BeanContextServicesSupport,5,boolean containsAll(Collection<?> c),False
6,BeanContextServicesSupport.BCSSServiceProvider,1,boolean add(E e),False
6,BeanContextServicesSupport.BCSSServiceProvider,2,boolean addAll(Collection<? extends E> c),False
6,BeanContextServicesSupport.BCSSServiceProvider,3,void clear(),False
6,BeanContextServicesSupport.BCSSServiceProvider,4,boolean contains(Object o),False
6,BeanContextServicesSupport.BCSSServiceProvider,5,boolean containsAll(Collection<?> c),False
6,BeanContextServicesSupport.BCSSServiceProvider,6,boolean equals(Object o),False
6,BeanContextServicesSupport.BCSSServiceProvider,7,E get(int index),False
6,BeanContextServicesSupport.BCSSServiceProvider,8,int indexOf(Object o),False
6,BeanContextServicesSupport.BCSSServiceProvider,9,boolean isEmpty(),False
6,BeanContextServicesSupport.BCSSServiceProvider,10,Iterator<E> iterator(),False
6,BeanContextServicesSupport.BCSSServiceProvider,11,int lastIndexOf(Object o),False
6,BeanContextServicesSupport.BCSSServiceProvider,12,ListIterator<E> listIterator(),False
6,BeanContextServicesSupport.BCSSServiceProvider,13,ListIterator<E> listIterator(int index),False
6,BeanContextServicesSupport.BCSSServiceProvider,14,boolean remove(Object o),False
6,BeanContextServicesSupport.BCSSServiceProvider,15,E remove(int index),False
6,BeanContextServicesSupport.BCSSServiceProvider,16,boolean removeAll(Collection<?> c),False
6,BeanContextServicesSupport.BCSSServiceProvider,17,boolean retainAll(Collection<?> c),False
6,BeanContextServicesSupport.BCSSServiceProvider,18,"E set(int index, E element)",False
6,BeanContextServicesSupport.BCSSServiceProvider,19,int size(),False
6,BeanContextServicesSupport.BCSSServiceProvider,20,"List<E> subList(int fromIndex, int toIndex)",False
7,BeanContextSupport,1,boolean add(E e),False
7,BeanContextSupport,2,boolean addAll(Collection<? extends E> c),False
7,BeanContextSupport,3,void clear(),True
7,BeanContextSupport,4,boolean contains(Object o),True
7,BeanContextSupport,5,boolean containsAll(Collection<?> c),False
8,BeanContextSupport.BCSIterator,1,boolean add(E e),False
8,BeanContextSupport.BCSIterator,2,"void add(int index, E element)",False
8,BeanContextSupport.BCSIterator,3,boolean addAll(Collection<? extends E> c),False
8,BeanContextSupport.BCSIterator,4,"boolean addAll(int index, Collection<? extends E> c)",False
8,BeanContextSupport.BCSIterator,5,void clear(),False
