ClassName,Method,Return Type
BufferedInputStream,available(),int
BufferedInputStream,close(),void
BufferedInputStream,mark(int readlimit),void
BufferedInputStream,markSupported(),boolean
BufferedInputStream,read(),int
BufferedInputStream,"read(byte[] b, int off, int len)",int
BufferedInputStream,reset(),void
BufferedInputStream,skip(long n),long
BufferedOutputStream,flush(),void
BufferedOutputStream,"write(byte[] b, int off, int len)",void
BufferedOutputStream,write(int b),void
BufferedReader,close(),void
BufferedReader,lines(),Stream<String>
BufferedReader,mark(int readAheadLimit),void
BufferedReader,markSupported(),boolean
BufferedReader,read(),int
BufferedReader,"read(char[] cbuf, int off, int len)",int
BufferedReader,readLine(),String
BufferedReader,ready(),boolean
BufferedReader,reset(),void
BufferedReader,skip(long n),long
BufferedWriter,close(),void
BufferedWriter,flush(),void
BufferedWriter,newLine(),void
BufferedWriter,"write(char[] cbuf, int off, int len)",void
BufferedWriter,write(int c),void
BufferedWriter,"write(String s, int off, int len)",void
ByteArrayInputStream,available(),int
ByteArrayInputStream,close(),void
ByteArrayInputStream,mark(int readAheadLimit),void
ByteArrayInputStream,markSupported(),boolean
ByteArrayInputStream,read(),int
ByteArrayInputStream,"read(byte[] b, int off, int len)",int
ByteArrayInputStream,reset(),void
ByteArrayInputStream,skip(long n),long
ByteArrayOutputStream,close(),void
ByteArrayOutputStream,reset(),void
ByteArrayOutputStream,size(),int
ByteArrayOutputStream,toByteArray(),byte[]
ByteArrayOutputStream,toString(),String
ByteArrayOutputStream,toString(int hibyte),String
ByteArrayOutputStream,toString(String charsetName),String
ByteArrayOutputStream,"write(byte[] b, int off, int len)",void
ByteArrayOutputStream,write(int b),void
ByteArrayOutputStream,writeTo(OutputStream out),void
CharArrayReader,close(),void
CharArrayReader,mark(int readAheadLimit),void
CharArrayReader,markSupported(),boolean
CharArrayReader,read(),int
CharArrayReader,"read(char[] b, int off, int len)",int
CharArrayReader,ready(),boolean
CharArrayReader,reset(),void
CharArrayReader,skip(long n),long
CharArrayWriter,append(char c),CharArrayWriter
CharArrayWriter,append(CharSequence csq),CharArrayWriter
CharArrayWriter,"append(CharSequence csq, int start, int end)",CharArrayWriter
CharArrayWriter,close(),void
CharArrayWriter,flush(),void
CharArrayWriter,reset(),void
CharArrayWriter,size(),int
