Sample Number,ClassName,Snippet Number,Method,Exist
0,AccessibleObject,1,void setAccessible(boolean flag),True
0,AccessibleObject,2,boolean isAccessible(),True
0,AccessibleObject,3,"void set(Object obj, Object[] args)",False
0,AccessibleObject,4,Object get(Object obj),False
0,AccessibleObject,5,"void setBoolean(Object obj, boolean value)",False
0,AccessibleObject,6,"void setByte(Object obj, byte value)",False
0,AccessibleObject,7,"void setChar(Object obj, char value)",False
0,AccessibleObject,8,"void setShort(Object obj, short value)",False
0,AccessibleObject,9,"void setInt(Object obj, int value)",False
0,AccessibleObject,10,"void setLong(Object obj, long value)",False
0,AccessibleObject,11,"void setFloat(Object obj, float value)",False
0,AccessibleObject,12,"void setDouble(Object obj, double value)",False
0,AccessibleObject,13,"void set(Object obj, Object value)",False
0,AccessibleObject,14,Object get(Object obj),False
0,AccessibleObject,15,"void setBoolean(Object obj, boolean value)",False
0,AccessibleObject,16,"void setByte(Object obj, byte value)",False
0,AccessibleObject,17,"void setChar(Object obj, char value)",False
0,AccessibleObject,18,"void setShort(Object obj, short value)",False
0,AccessibleObject,19,"void setInt(Object obj, int value)",False
0,AccessibleObject,20,"void setLong(Object obj, long value)",False
0,AccessibleObject,21,"void setFloat(Object obj, float value)",False
0,AccessibleObject,22,"void setDouble(Object obj, double value)",False
0,AccessibleObject,23,"void set(Object obj, Object value)",False
0,AccessibleObject,24,Object get(Object obj),False
0,AccessibleObject,25,"void setBoolean(Object obj, boolean value)",False
1,Array,1,"Object get(Object array, int index)",True
1,Array,2,int getLength(Object array),True
1,Array,3,"Object newInstance(Class<?> componentType, int length)",True
1,Array,4,"void set(Object array, int index, Object a)",True
1,Array,5,"boolean getBoolean(Object array, int index)",True
2,Constructor,1,Constructor<T> getDeclaredConstructor(Class<?>... parameterTypes),False
2,Constructor,2,T newInstance(Object... initargs),True
2,Constructor,3,"T newInstance(Object... initargs) throws InstantiationException, IllegalAccessException, InvocationTargetException",True
2,Constructor,4,T newInstance(),False
2,Constructor,5,"T newInstance() throws InstantiationException, IllegalAccessException",False
3,Executable,1,boolean add(E e),False
3,Executable,2,"void add(int index, E element)",False
3,Executable,3,boolean addAll(Collection<? extends E> c),False
3,Executable,4,boolean remove(Object o),False
3,Executable,5,E remove(int index),False
4,Field,1,boolean canAccess(Object obj),False
4,Field,2,"void set(Object obj, Object value)",True
4,Field,3,Object get(Object obj),True
4,Field,4,void setAccessible(boolean flag),False
4,Field,5,Class<?> getType(),True
5,Method,1,boolean add(E e),False
5,Method,2,"void add(int index, E element)",False
5,Method,3,boolean addAll(Collection<? extends E> c),False
5,Method,4,boolean remove(Object o),False
5,Method,5,E remove(int index),False
6,Modifier,1,int getModifiers(),False
6,Modifier,2,boolean isAbstract(),False
6,Modifier,3,boolean isFinal(),False
6,Modifier,4,boolean isInterface(),False
6,Modifier,5,boolean isNative(),False
6,Modifier,6,boolean isPrivate(),False
6,Modifier,7,boolean isProtected(),False
6,Modifier,8,boolean isPublic(),False
6,Modifier,9,boolean isStatic(),False
6,Modifier,10,boolean isStrict(),False
6,Modifier,11,boolean isSynchronized(),False
6,Modifier,12,boolean isTransient(),False
6,Modifier,13,boolean isVolatile(),False
7,Parameter,1,boolean add(E e),False
7,Parameter,2,"void add(int index, E element)",False
7,Parameter,3,boolean addAll(Collection<? extends E> c),False
7,Parameter,4,boolean remove(Object o),False
7,Parameter,5,E remove(int index),False
8,Proxy,1,"Object newProxyInstance(ClassLoader loader, Class<?>[] interfaces, InvocationHandler h)",True
8,Proxy,2,"Object invoke(Object proxy, Method method, Object[] args)",False
8,Proxy,3,boolean equals(Object obj),False
8,Proxy,4,int hashCode(),False
8,Proxy,5,String toString(),False
9,ReflectPermission,1,ReflectPermission(String name),False
9,ReflectPermission,2,"ReflectPermission(String name, String actions)",False
9,ReflectPermission,3,String getActions(),False
9,ReflectPermission,4,String getName(),False
9,ReflectPermission,5,boolean implies(Permission p),False
