ClassName,URL
Authenticator,https://docs.oracle.com/javase/8/docs/api/java/net/Authenticator.html
CacheRequest,https://docs.oracle.com/javase/8/docs/api/java/net/CacheRequest.html
CacheResponse,https://docs.oracle.com/javase/8/docs/api/java/net/CacheResponse.html
ContentHandler,https://docs.oracle.com/javase/8/docs/api/java/net/ContentHandler.html
CookieHandler,https://docs.oracle.com/javase/8/docs/api/java/net/CookieHandler.html
CookieManager,https://docs.oracle.com/javase/8/docs/api/java/net/CookieManager.html
DatagramPacket,https://docs.oracle.com/javase/8/docs/api/java/net/DatagramPacket.html
DatagramSocket,https://docs.oracle.com/javase/8/docs/api/java/net/DatagramSocket.html
DatagramSocketImpl,https://docs.oracle.com/javase/8/docs/api/java/net/DatagramSocketImpl.html
HttpCookie,https://docs.oracle.com/javase/8/docs/api/java/net/HttpCookie.html
HttpURLConnection,https://docs.oracle.com/javase/8/docs/api/java/net/HttpURLConnection.html
IDN,https://docs.oracle.com/javase/8/docs/api/java/net/IDN.html
Inet4Address,https://docs.oracle.com/javase/8/docs/api/java/net/Inet4Address.html
Inet6Address,https://docs.oracle.com/javase/8/docs/api/java/net/Inet6Address.html
InetAddress,https://docs.oracle.com/javase/8/docs/api/java/net/InetAddress.html
InetSocketAddress,https://docs.oracle.com/javase/8/docs/api/java/net/InetSocketAddress.html
InterfaceAddress,https://docs.oracle.com/javase/8/docs/api/java/net/InterfaceAddress.html
JarURLConnection,https://docs.oracle.com/javase/8/docs/api/java/net/JarURLConnection.html
MulticastSocket,https://docs.oracle.com/javase/8/docs/api/java/net/MulticastSocket.html
NetPermission,https://docs.oracle.com/javase/8/docs/api/java/net/NetPermission.html
NetworkInterface,https://docs.oracle.com/javase/8/docs/api/java/net/NetworkInterface.html
PasswordAuthentication,https://docs.oracle.com/javase/8/docs/api/java/net/PasswordAuthentication.html
Proxy,https://docs.oracle.com/javase/8/docs/api/java/net/Proxy.html
ProxySelector,https://docs.oracle.com/javase/8/docs/api/java/net/ProxySelector.html
ResponseCache,https://docs.oracle.com/javase/8/docs/api/java/net/ResponseCache.html
SecureCacheResponse,https://docs.oracle.com/javase/8/docs/api/java/net/SecureCacheResponse.html
ServerSocket,https://docs.oracle.com/javase/8/docs/api/java/net/ServerSocket.html
Socket,https://docs.oracle.com/javase/8/docs/api/java/net/Socket.html
SocketAddress,https://docs.oracle.com/javase/8/docs/api/java/net/SocketAddress.html
SocketImpl,https://docs.oracle.com/javase/8/docs/api/java/net/SocketImpl.html
SocketPermission,https://docs.oracle.com/javase/8/docs/api/java/net/SocketPermission.html
StandardSocketOptions,https://docs.oracle.com/javase/8/docs/api/java/net/StandardSocketOptions.html
URI,https://docs.oracle.com/javase/8/docs/api/java/net/URI.html
URL,https://docs.oracle.com/javase/8/docs/api/java/net/URL.html
URLClassLoader,https://docs.oracle.com/javase/8/docs/api/java/net/URLClassLoader.html
URLConnection,https://docs.oracle.com/javase/8/docs/api/java/net/URLConnection.html
URLDecoder,https://docs.oracle.com/javase/8/docs/api/java/net/URLDecoder.html
URLEncoder,https://docs.oracle.com/javase/8/docs/api/java/net/URLEncoder.html
URLPermission,https://docs.oracle.com/javase/8/docs/api/java/net/URLPermission.html
URLStreamHandler,https://docs.oracle.com/javase/8/docs/api/java/net/URLStreamHandler.html
