Sample Number,ClassName,Snippet Number,Method,Exist
0,Certificate,1,Certificate getCertificate(int index),False
0,Certificate,2,Certificate getCertificate(String alias),False
0,Certificate,3,Certificate[] getCertificates(),False
0,Certificate,4,Certificate[] getCertificates(String type),False
0,Certificate,5,int size(),False
1,Certificate.CertificateRep,1,boolean add(E e),False
1,Certificate.CertificateRep,2,"void add(int index, E element)",False
1,Certificate.CertificateRep,3,boolean addAll(Collection<? extends E> c),False
1,Certificate.CertificateRep,4,"boolean addAll(int index, Collection<? extends E> c)",False
1,Certificate.CertificateRep,5,void clear(),False
2,CertificateFactory,1,CertificateFactory getInstance(String type),True
2,CertificateFactory,2,Certificate generateCertificate(InputStream in),True
2,CertificateFactory,3,"CertPath getInstance(CertPath certPath, String type)",False
2,CertificateFactory,4,CertPath generateCertPath(CertPathParameters params),False
2,CertificateFactory,5,CertPathParameters getInstance(InputStream in),False
3,CertificateFactorySpi,1,CertificateFactorySpi(),False
3,CertificateFactorySpi,2,CertificateFactorySpi(String provider),False
3,CertificateFactorySpi,3,"CertificateFactorySpi(String provider, String type)",False
3,CertificateFactorySpi,4,"CertificateFactorySpi(String provider, String type, String algorithm)",False
3,CertificateFactorySpi,5,"CertificateFactorySpi(String provider, String type, String algorithm, String format)",False
4,CertPath,1,CertPath getInstance(CertPathParameters parameters),False
4,CertPath,2,"CertPath getInstance(CertPathParameters parameters, String provider)",False
4,CertPath,3,CertPath getInstance(InputStream inStream),False
4,CertPath,4,"CertPath getInstance(InputStream inStream, String provider)",False
4,CertPath,5,"CertPath getInstance(String type, InputStream inStream)",False
5,CertPath.CertPathRep,1,boolean add(E e),False
5,CertPath.CertPathRep,2,"void add(int index, E element)",False
5,CertPath.CertPathRep,3,boolean addAll(Collection<? extends E> c),False
5,CertPath.CertPathRep,4,"boolean addAll(int index, Collection<? extends E> c)",False
5,CertPath.CertPathRep,5,void clear(),False
6,CertPathBuilder,1,CertPathBuilder.build(CertPathParameters params),False
6,CertPathBuilder,2,CertPathBuilderResult getResult(),False
6,CertPathBuilder,3,CertPathBuilderResult build(CertPathParameters params),True
6,CertPathBuilder,4,"CertPathBuilderResult build(CertPathParameters params, PKIXParameters pkixParams)",False
6,CertPathBuilder,5,"CertPathBuilderResult build(CertPathParameters params, PKIXParameters pkixParams, CertStoreParameters storeParams)",False
7,CertPathBuilderSpi,1,CertPathBuilderSpi(),False
7,CertPathBuilderSpi,2,Engine getEngine(),False
7,CertPathBuilderSpi,3,CertPathBuilderResult build(CertPathParameters params),False
7,CertPathBuilderSpi,4,"CertPathBuilderResult build(CertPathParameters params, Collection<? extends CertPath> endCerts)",False
7,CertPathBuilderSpi,5,"CertPathBuilderResult build(CertPathParameters params, CertPath endCertPath)",False
8,CertPathValidator,1,"CertPathValidator.validate(CertPath, PKIXParameters)",False
8,CertPathValidator,2,"CertPathValidator.validate(CertPath, PKIXParameters, CertPathChecker)",False
8,CertPathValidator,3,"CertPathValidator.validate(CertPath, PKIXParameters, CertPathParameters)",False
8,CertPathValidator,4,"CertPathValidator.validate(CertPath, PKIXParameters, CertPathParameters, CertPathChecker)",False
8,CertPathValidator,5,"CertPathValidator.validate(CertPath, PKIXParameters, CertPathParameters, CertPathChecker, PKIXRevocationChecker)",False
