FileName,Compilable,Runnable,Correct
DSAPrivateKeySpec_2,False,False,False
DSAPrivateKeySpec_3,False,False,False
DSAPrivateKeySpec_5,False,False,False
DSAPublicKeySpec_3,False,False,False
DSAPublicKeySpec_5,False,False,False
ECGenParameterSpec_2,True,True,True
ECParameterSpec_10,False,False,False
ECPrivateKeySpec_2,False,False,False
EncodedKeySpec_2,True,True,True
PKCS8EncodedKeySpec_2,True,True,True
PKCS8EncodedKeySpec_3,True,False,False
PSSParameterSpec_4,False,False,False
RSAPrivateCrtKeySpec_3,False,False,False
RSAPrivateKeySpec_2,False,False,False
RSAPrivateKeySpec_3,False,False,False
RSAPublicKeySpec_2,False,False,False
RSAPublicKeySpec_3,False,False,False
X509EncodedKeySpec_2,True,True,True
X509EncodedKeySpec_3,True,True,True
