FileName,Compilable,Runnable,Correct
Duration_2,True,True,True
Duration_3,True,True,True
Duration_4,True,True,True
Duration_6,True,True,True
Duration_7,True,True,True
Duration_14,True,True,True
Duration_15,True,True,True
Duration_16,True,True,True
Duration_17,True,True,True
Duration_18,True,True,True
Duration_19,True,True,True
Duration_20,True,True,True
LocalDate_1,True,True,True
LocalDate_2,True,True,True
LocalDate_3,True,True,True
LocalDate_4,True,True,True
LocalDate_5,True,True,True
LocalDate_6,True,True,True
LocalDate_7,True,True,True
LocalDate_8,True,True,True
LocalDate_9,True,True,True
LocalDate_10,True,True,True
LocalDate_11,True,True,True
LocalDate_12,True,True,True
LocalDate_13,True,True,True
LocalDate_14,True,True,True
LocalDate_15,True,True,True
LocalDate_18,True,True,True
LocalDate_19,True,True,True
LocalDate_20,True,True,True
LocalDate_21,True,True,True
LocalDate_22,True,True,True
LocalDate_23,True,True,True
LocalDate_25,True,True,True
LocalDateTime_1,True,True,True
LocalDateTime_2,True,True,True
LocalDateTime_3,True,True,True
LocalDateTime_4,True,True,True
LocalDateTime_5,True,True,True
LocalTime_1,True,True,True
LocalTime_2,True,True,True
LocalTime_3,True,True,True
LocalTime_4,True,True,True
LocalTime_5,True,True,True
OffsetDateTime_1,True,True,True
OffsetDateTime_2,True,True,True
OffsetDateTime_3,True,True,True
OffsetDateTime_4,True,True,True
OffsetDateTime_5,True,True,True
OffsetDateTime_6,True,True,True
OffsetDateTime_7,True,True,True
OffsetDateTime_8,True,True,True
OffsetDateTime_9,True,True,True
OffsetDateTime_10,True,True,True
OffsetDateTime_11,True,True,True
OffsetDateTime_12,True,True,True
OffsetDateTime_13,True,True,True
OffsetDateTime_14,True,True,True
OffsetDateTime_15,True,True,True
OffsetDateTime_16,True,True,True
OffsetDateTime_17,True,True,True
OffsetDateTime_18,True,True,True
OffsetDateTime_19,True,True,True
OffsetDateTime_20,True,True,True
Period_4,True,True,True
Period_5,True,True,True
Period_6,True,True,True
ZonedDateTime_1,True,True,True
ZonedDateTime_2,True,True,True
ZonedDateTime_3,True,True,True
ZonedDateTime_4,True,True,True
ZonedDateTime_5,True,True,True
