Sample Number,ClassName,Snippet Number,Method,Exist
0,AbstractExecutorService,1,boolean add(E e),False
0,AbstractExecutorService,2,void execute(Runnable command),False
0,AbstractExecutorService,3,List<Runnable> shutdownNow(),False
0,AbstractExecutorService,4,boolean isShutdown(),False
0,AbstractExecutorService,5,boolean isTerminated(),False
1,ArrayBlockingQueue,1,boolean add(E e),True
1,ArrayBlockingQueue,2,boolean offer(E e),True
1,ArrayBlockingQueue,3,E take(),True
1,ArrayBlockingQueue,4,E poll(),True
1,ArrayBlockingQueue,5,E peek(),True
2,CompletableFuture,1,CompletableFuture<Void> runAsync(Runnable runnable),True
2,CompletableFuture,2,"<U> CompletableFuture<U> thenApply(Function<? super T,? extends U> fn)",True
2,CompletableFuture,3,CompletableFuture<Void> thenAccept(Consumer<? super T> action),True
2,CompletableFuture,4,"CompletableFuture<T> thenCompose(Function<? super T,? extends CompletionStage<U>> fn)",False
2,CompletableFuture,5,"CompletableFuture<T> exceptionally(Function<Throwable,? extends T> fn)",True
3,ConcurrentHashMap,1,"boolean putIfAbsent(K key, V value)",False
3,ConcurrentHashMap,2,"V put(K key, V value)",True
3,ConcurrentHashMap,3,V get(Object key),True
3,ConcurrentHashMap,4,V remove(Object key),True
3,ConcurrentHashMap,5,"boolean replace(K key, V oldValue, V newValue)",True
4,ConcurrentHashMap.KeySetView,1,boolean add(E e),False
4,ConcurrentHashMap.KeySetView,2,boolean remove(Object o),True
4,ConcurrentHashMap.KeySetView,3,void clear(),True
4,ConcurrentHashMap.KeySetView,4,boolean contains(Object o),True
4,ConcurrentHashMap.KeySetView,5,boolean isEmpty(),True
5,ConcurrentLinkedDeque,1,boolean add(E e),True
5,ConcurrentLinkedDeque,2,boolean addFirst(E e),False
5,ConcurrentLinkedDeque,3,boolean addLast(E e),False
5,ConcurrentLinkedDeque,4,E getFirst(),True
5,ConcurrentLinkedDeque,5,E getLast(),True
6,ConcurrentLinkedQueue,1,boolean add(E e),True
6,ConcurrentLinkedQueue,2,boolean offer(E e),True
6,ConcurrentLinkedQueue,3,E poll(),True
6,ConcurrentLinkedQueue,4,E peek(),True
6,ConcurrentLinkedQueue,5,boolean remove(Object o),True
7,ConcurrentSkipListMap,1,ConcurrentSkipListMap(),False
7,ConcurrentSkipListMap,2,boolean containsKey(Object key),True
7,ConcurrentSkipListMap,3,V get(Object key),True
7,ConcurrentSkipListMap,4,"V put(K key, V value)",True
7,ConcurrentSkipListMap,5,V remove(Object key),True
8,ConcurrentSkipListSet,1,boolean add(E e),True
8,ConcurrentSkipListSet,2,void clear(),True
8,ConcurrentSkipListSet,3,boolean contains(Object o),True
8,ConcurrentSkipListSet,4,boolean remove(Object o),True
8,ConcurrentSkipListSet,5,int size(),True
9,CopyOnWriteArrayList,1,boolean add(E e),True
9,CopyOnWriteArrayList,2,E get(int index),True
9,CopyOnWriteArrayList,3,"E set(int index, E element)",True
9,CopyOnWriteArrayList,4,"void add(int index, E element)",True
9,CopyOnWriteArrayList,5,E remove(int index),True
10,CopyOnWriteArraySet,1,boolean add(E e),True
10,CopyOnWriteArraySet,2,boolean addIfAbsent(E e),False
10,CopyOnWriteArraySet,3,void clear(),True
10,CopyOnWriteArraySet,4,boolean contains(Object o),True
