Sample Number,ClassName,Snippet Number,Method,Exist
0,AccessibleAttributeSequence,1,boolean add(E e),False
0,AccessibleAttributeSequence,2,"void add(int index, E element)",False
0,AccessibleAttributeSequence,3,boolean addAll(Collection<? extends E> c),False
0,AccessibleAttributeSequence,4,"boolean addAll(int index, Collection<? extends E> c)",False
0,AccessibleAttributeSequence,5,void clear(),False
1,AccessibleBundle,1,boolean add(E e),False
1,AccessibleBundle,2,"void add(int index, E element)",False
1,AccessibleBundle,3,boolean addAll(Collection<? extends E> c),False
1,AccessibleBundle,4,boolean contains(Object o),False
1,AccessibleBundle,5,E get(int index),False
2,AccessibleContext,1,AccessibleContext getAccessibleContext(),False
2,AccessibleContext,2,Accessible getAccessibleChild(int i),True
2,AccessibleContext,3,int getAccessibleChildCount(),False
2,AccessibleContext,4,Accessible getAccessibleParent(),True
2,AccessibleContext,5,AccessibleRole getAccessibleRole(),True
3,AccessibleHyperlink,1,AccessibleHyperlink getAccessibleHyperlink(int index),False
3,AccessibleHyperlink,2,int getAccessibleHyperlinkCount(),False
3,AccessibleHyperlink,3,boolean isAccessibleHyperlink(int index),False
3,AccessibleHyperlink,4,AccessibleHyperlink remove(int index),False
3,AccessibleHyperlink,5,"AccessibleHyperlink set(int index, AccessibleHyperlink element)",False
4,AccessibleRelation,1,boolean add(E e),False
4,AccessibleRelation,2,boolean addAll(Collection<? extends E> c),False
4,AccessibleRelation,3,void clear(),False
4,AccessibleRelation,4,boolean contains(Object o),False
4,AccessibleRelation,5,boolean containsAll(Collection<?> c),False
4,AccessibleRelation,6,boolean equals(Object o),False
4,AccessibleRelation,7,E get(int index),False
4,AccessibleRelation,8,int indexOf(Object o),False
4,AccessibleRelation,9,boolean isEmpty(),False
4,AccessibleRelation,10,Iterator<E> iterator(),False
4,AccessibleRelation,11,int lastIndexOf(Object o),False
4,AccessibleRelation,12,ListIterator<E> listIterator(),False
4,AccessibleRelation,13,ListIterator<E> listIterator(int index),False
4,AccessibleRelation,14,boolean remove(Object o),False
4,AccessibleRelation,15,E remove(int index),False
4,AccessibleRelation,16,boolean removeAll(Collection<?> c),False
4,AccessibleRelation,17,boolean retainAll(Collection<?> c),False
4,AccessibleRelation,18,"E set(int index, E element)",False
4,AccessibleRelation,19,int size(),False
4,AccessibleRelation,20,"List<E> subList(int fromIndex, int toIndex)",False
5,AccessibleRelationSet,1,boolean add(E e),False
5,AccessibleRelationSet,2,boolean addAll(Collection<? extends E> c),False
5,AccessibleRelationSet,3,void clear(),True
5,AccessibleRelationSet,4,boolean contains(Object o),False
5,AccessibleRelationSet,5,boolean containsAll(Collection<?> c),False
6,AccessibleResourceBundle,1,boolean add(E e),False
6,AccessibleResourceBundle,2,"void add(int index, E element)",False
6,AccessibleResourceBundle,3,boolean addAll(Collection<? extends E> c),False
6,AccessibleResourceBundle,4,boolean remove(Object o),False
6,AccessibleResourceBundle,5,E remove(int index),False
7,AccessibleRole,1,AccessibleRole getAccessibleRole(),False
7,AccessibleRole,2,AccessibleState getAccessibleState(),False
7,AccessibleRole,3,AccessibleText getAccessibleText(),False
7,AccessibleRole,4,AccessibleValue getAccessibleValue(),False
7,AccessibleRole,5,AccessibleWindow getAccessibleWindow(),False
8,AccessibleState,1,boolean isSelected(),False
8,AccessibleState,2,boolean isFocused(),False
8,AccessibleState,3,boolean isArmed(),False
8,AccessibleState,4,boolean isMultiselectable(),False
8,AccessibleState,5,boolean isBusy(),False
9,AccessibleStateSet,1,boolean add(E e),False
9,AccessibleStateSet,2,boolean addAll(Collection<? extends E> c),False
9,AccessibleStateSet,3,void clear(),True
9,AccessibleStateSet,4,boolean contains(Object o),False
9,AccessibleStateSet,5,boolean containsAll(Collection<?> c),False
9,AccessibleStateSet,6,boolean equals(Object o),False
9,AccessibleStateSet,7,E get(int index),False
9,AccessibleStateSet,8,int indexOf(Object o),False
9,AccessibleStateSet,9,boolean isEmpty(),False
9,AccessibleStateSet,10,Iterator<E> iterator(),False
9,AccessibleStateSet,11,int lastIndexOf(Object o),False
9,AccessibleStateSet,12,ListIterator<E> listIterator(),False
9,AccessibleStateSet,13,ListIterator<E> listIterator(int index),False
9,AccessibleStateSet,14,boolean remove(Object o),False
9,AccessibleStateSet,15,E remove(int index),False
9,AccessibleStateSet,16,boolean removeAll(Collection<?> c),False
9,AccessibleStateSet,17,boolean retainAll(Collection<?> c),False
9,AccessibleStateSet,18,"E set(int index, E element)",False
9,AccessibleStateSet,19,int size(),False
9,AccessibleStateSet,20,"List<E> subList(int fromIndex, int toIndex)",False
10,AccessibleTextSequence,1,boolean add(E e),False
10,AccessibleTextSequence,2,"void add(int index, E element)",False
10,AccessibleTextSequence,3,boolean addAll(Collection<? extends E> c),False
10,AccessibleTextSequence,4,"boolean addAll(int index, Collection<? extends E> c)",False
10,AccessibleTextSequence,5,void clear(),False
