ClassName,URL
ActivationDataFlavor,https://docs.oracle.com/javase/8/docs/api/javax/activation/ActivationDataFlavor.html
CommandInfo,https://docs.oracle.com/javase/8/docs/api/javax/activation/CommandInfo.html
CommandMap,https://docs.oracle.com/javase/8/docs/api/javax/activation/CommandMap.html
DataHandler,https://docs.oracle.com/javase/8/docs/api/javax/activation/DataHandler.html
FileDataSource,https://docs.oracle.com/javase/8/docs/api/javax/activation/FileDataSource.html
FileTypeMap,https://docs.oracle.com/javase/8/docs/api/javax/activation/FileTypeMap.html
MailcapCommandMap,https://docs.oracle.com/javase/8/docs/api/javax/activation/MailcapCommandMap.html
MimeType,https://docs.oracle.com/javase/8/docs/api/javax/activation/MimeType.html
MimeTypeParameterList,https://docs.oracle.com/javase/8/docs/api/javax/activation/MimeTypeParameterList.html
MimetypesFileTypeMap,https://docs.oracle.com/javase/8/docs/api/javax/activation/MimetypesFileTypeMap.html
URLDataSource,https://docs.oracle.com/javase/8/docs/api/javax/activation/URLDataSource.html
