ClassName,Method,Return Type
IIOMetadata,activateController(),boolean
IIOMetadata,getAsTree(String formatName),abstract Node
IIOMetadata,getController(),IIOMetadataController
IIOMetadata,getDefaultController(),IIOMetadataController
IIOMetadata,getExtraMetadataFormatNames(),String[]
IIOMetadata,getMetadataFormat(String formatName),IIOMetadataFormat
IIOMetadata,getMetadataFormatNames(),String[]
IIOMetadata,getNativeMetadataFormatName(),String
IIOMetadata,getStandardChromaNode(),protected IIOMetadataNode
IIOMetadata,getStandardCompressionNode(),protected IIOMetadataNode
IIOMetadata,getStandardDataNode(),protected IIOMetadataNode
IIOMetadata,getStandardDimensionNode(),protected IIOMetadataNode
IIOMetadata,getStandardDocumentNode(),protected IIOMetadataNode
IIOMetadata,getStandardTextNode(),protected IIOMetadataNode
IIOMetadata,getStandardTileNode(),protected IIOMetadataNode
IIOMetadata,getStandardTransparencyNode(),protected IIOMetadataNode
IIOMetadata,getStandardTree(),protected IIOMetadataNode
IIOMetadata,hasController(),boolean
IIOMetadata,isReadOnly(),abstract boolean
IIOMetadata,isStandardMetadataFormatSupported(),boolean
IIOMetadata,"mergeTree(String formatName, Node root)",abstract void
IIOMetadata,reset(),abstract void
IIOMetadata,setController(IIOMetadataController controller),void
IIOMetadata,"setFromTree(String formatName, Node root)",void
IIOMetadataFormatImpl,"addAttribute(String elementName, String attrName, int dataType, boolean required, int listMinLength, int listMaxLength)",protected void
IIOMetadataFormatImpl,"addAttribute(String elementName, String attrName, int dataType, boolean required, String defaultValue)",protected void
IIOMetadataFormatImpl,"addAttribute(String elementName, String attrName, int dataType, boolean required, String defaultValue, List<String> enumeratedValues)",protected void
IIOMetadataFormatImpl,"addAttribute(String elementName, String attrName, int dataType, boolean required, String defaultValue, String minValue, String maxValue, boolean minInclusive, boolean maxInclusive)",protected void
IIOMetadataFormatImpl,"addBooleanAttribute(String elementName, String attrName, boolean hasDefaultValue, boolean defaultValue)",protected void
IIOMetadataFormatImpl,"addChildElement(String elementName, String parentName)",protected void
IIOMetadataFormatImpl,"addElement(String elementName, String parentName, int childPolicy)",protected void
IIOMetadataFormatImpl,"addElement(String elementName, String parentName, int minChildren, int maxChildren)",protected void
IIOMetadataFormatImpl,"addObjectValue(String elementName, Class<?> classType, int arrayMinLength, int arrayMaxLength)",protected void
IIOMetadataFormatImpl,"addObjectValue(String elementName, Class<T> classType, boolean required, T defaultValue)",protected <T> void
IIOMetadataFormatImpl,"addObjectValue(String elementName, Class<T> classType, boolean required, T defaultValue, List<? extends T> enumeratedValues)",protected <T> void
IIOMetadataFormatImpl,"addObjectValue(String elementName, Class<T> classType, T defaultValue, Comparable<? super T> minValue, Comparable<? super T> maxValue, boolean minInclusive, boolean maxInclusive)",protected <T extends Object & Comparable<? super T>>void
