Sample Number,ClassName,Snippet Number,Method,Exist
0,JPEGHuffmanTable,1,boolean isProgressive(),False
0,JPEGHuffmanTable,2,int getTableClass(),False
0,JPEGHuffmanTable,3,int getTableID(),False
0,JPEGHuffmanTable,4,int getEntryCount(),False
0,JPEGHuffmanTable,5,int getValue(int index),False
1,JPEGImageReadParam,1,setDestinationOffset(Rectangle destOffset),False
1,JPEGImageReadParam,2,setSourceCropArea(Rectangle sourceCropArea),False
1,JPEGImageReadParam,3,"setSourceSubsampling(int x, int y, int width, int height)",False
1,JPEGImageReadParam,4,"setDestinationSamplePixelSize(int x, int y)",False
1,JPEGImageReadParam,5,setDestinationColor(boolean destinationColor),False
2,JPEGImageWriteParam,1,setCompressionMode(int mode),False
2,JPEGImageWriteParam,2,setCompressionQuality(float quality),False
2,JPEGImageWriteParam,3,setProgressiveMode(int mode),False
2,JPEGImageWriteParam,4,setDestination(RenderedImage im),False
2,JPEGImageWriteParam,5,setSource(RenderedImage im),False
3,JPEGQTable,1,boolean isProgressive(),False
3,JPEGQTable,2,boolean isRestartIntervalPresent(),False
3,JPEGQTable,3,int getRestartInterval(),False
3,JPEGQTable,4,int getQTable(int band),False
3,JPEGQTable,5,"int getQTable(int band, int[] qTable)",False
