ClassName,URL
MBeanServerNotificationFilter,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/MBeanServerNotificationFilter.html
RelationNotification,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RelationNotification.html
RelationService,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RelationService.html
RelationSupport,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RelationSupport.html
RelationTypeSupport,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RelationTypeSupport.html
Role,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/Role.html
RoleInfo,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RoleInfo.html
RoleList,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RoleList.html
RoleResult,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RoleResult.html
RoleStatus,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RoleStatus.html
RoleUnresolved,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RoleUnresolved.html
RoleUnresolvedList,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/RoleUnresolvedList.html
