ClassName,Method,Return Type
RMIConnectionImpl,"addNotificationListener(ObjectName name, ObjectName listener, MarshalledObject filter, MarshalledObject handback, Subject delegationSubject)",void
RMIConnectionImpl,"addNotificationListeners(ObjectName[] names, MarshalledObject[] filters, Subject[] delegationSubjects)",Integer[]
RMIConnectionImpl,close(),void
RMIConnectionImpl,"createMBean(String className, ObjectName name, MarshalledObject params, String[] signature, Subject delegationSubject)",ObjectInstance
RMIConnectionImpl,"createMBean(String className, ObjectName name, ObjectName loaderName, MarshalledObject params, String[] signature, Subject delegationSubject)",ObjectInstance
RMIConnectionImpl,"createMBean(String className, ObjectName name, ObjectName loaderName, Subject delegationSubject)",ObjectInstance
RMIConnectionImpl,"createMBean(String className, ObjectName name, Subject delegationSubject)",ObjectInstance
RMIConnectionImpl,"fetchNotifications(long clientSequenceNumber, int maxNotifications, long timeout)",NotificationResult
RMIConnectionImpl,"getAttribute(ObjectName name, String attribute, Subject delegationSubject)",Object
RMIConnectionImpl,"getAttributes(ObjectName name, String[] attributes, Subject delegationSubject)",AttributeList
RMIConnectionImpl,getConnectionId(),String
RMIConnectionImpl,getDefaultDomain(Subject delegationSubject),String
RMIConnectionImpl,getDomains(Subject delegationSubject),String[]
RMIConnectionImpl,getMBeanCount(Subject delegationSubject),Integer
RMIConnectionImpl,"getMBeanInfo(ObjectName name, Subject delegationSubject)",MBeanInfo
RMIConnectionImpl,"getObjectInstance(ObjectName name, Subject delegationSubject)",ObjectInstance
RMIConnectionImpl,"invoke(ObjectName name, String operationName, MarshalledObject params, String[] signature, Subject delegationSubject)",Object
RMIConnectionImpl,"isInstanceOf(ObjectName name, String className, Subject delegationSubject)",boolean
RMIConnectionImpl,"isRegistered(ObjectName name, Subject delegationSubject)",boolean
RMIConnectionImpl,"queryMBeans(ObjectName name, MarshalledObject query, Subject delegationSubject)",Set<ObjectInstance>
RMIConnectionImpl,"queryNames(ObjectName name, MarshalledObject query, Subject delegationSubject)",Set<ObjectName>
RMIConnectionImpl,"removeNotificationListener(ObjectName name, ObjectName listener, MarshalledObject filter, MarshalledObject handback, Subject delegationSubject)",void
RMIConnectionImpl,"removeNotificationListener(ObjectName name, ObjectName listener, Subject delegationSubject)",void
RMIConnectionImpl,"removeNotificationListeners(ObjectName name, Integer[] listenerIDs, Subject delegationSubject)",void
RMIConnectionImpl,"setAttribute(ObjectName name, MarshalledObject attribute, Subject delegationSubject)",void
RMIConnectionImpl,"setAttributes(ObjectName name, MarshalledObject attributes, Subject delegationSubject)",AttributeList
RMIConnectionImpl,toString(),String
RMIConnectionImpl,unreferenced(),void
RMIConnectionImpl,"unregisterMBean(ObjectName name, Subject delegationSubject)",void
RMIConnectionImpl_Stub,"addNotificationListener(ObjectName $param_ObjectName_1, ObjectName $param_ObjectName_2, MarshalledObject $param_MarshalledObject_3, MarshalledObject $param_MarshalledObject_4, Subject $param_Subject_5)",void
RMIConnectionImpl_Stub,"addNotificationListeners(ObjectName[] $param_arrayOf_ObjectName_1, MarshalledObject[] $param_arrayOf_MarshalledObject_2, Subject[] $param_arrayOf_Subject_3)",Integer[]
RMIConnectionImpl_Stub,close(),void
RMIConnectionImpl_Stub,"createMBean(String $param_String_1, ObjectName $param_ObjectName_2, MarshalledObject $param_MarshalledObject_3, String[] $param_arrayOf_String_4, Subject $param_Subject_5)",ObjectInstance
RMIConnectionImpl_Stub,"createMBean(String $param_String_1, ObjectName $param_ObjectName_2, ObjectName $param_ObjectName_3, MarshalledObject $param_MarshalledObject_4, String[] $param_arrayOf_String_5, Subject $param_Subject_6)",ObjectInstance
RMIConnectionImpl_Stub,"createMBean(String $param_String_1, ObjectName $param_ObjectName_2, ObjectName $param_ObjectName_3, Subject $param_Subject_4)",ObjectInstance
RMIConnectionImpl_Stub,"createMBean(String $param_String_1, ObjectName $param_ObjectName_2, Subject $param_Subject_3)",ObjectInstance
RMIConnectionImpl_Stub,"fetchNotifications(long $param_long_1, int $param_int_2, long $param_long_3)",NotificationResult
RMIConnectionImpl_Stub,"getAttribute(ObjectName $param_ObjectName_1, String $param_String_2, Subject $param_Subject_3)",Object
RMIConnectionImpl_Stub,"getAttributes(ObjectName $param_ObjectName_1, String[] $param_arrayOf_String_2, Subject $param_Subject_3)",AttributeList
RMIConnectionImpl_Stub,getConnectionId(),String
RMIConnectionImpl_Stub,getDefaultDomain(Subject $param_Subject_1),String
RMIConnectionImpl_Stub,getDomains(Subject $param_Subject_1),String[]
RMIConnectionImpl_Stub,getMBeanCount(Subject $param_Subject_1),Integer
RMIConnectionImpl_Stub,"getMBeanInfo(ObjectName $param_ObjectName_1, Subject $param_Subject_2)",MBeanInfo
RMIConnectionImpl_Stub,"getObjectInstance(ObjectName $param_ObjectName_1, Subject $param_Subject_2)",ObjectInstance
