ClassName,URL
BinaryRefAddr,https://docs.oracle.com/javase/8/docs/api/javax/naming/BinaryRefAddr.html
Binding,https://docs.oracle.com/javase/8/docs/api/javax/naming/Binding.html
CompositeName,https://docs.oracle.com/javase/8/docs/api/javax/naming/CompositeName.html
CompoundName,https://docs.oracle.com/javase/8/docs/api/javax/naming/CompoundName.html
InitialContext,https://docs.oracle.com/javase/8/docs/api/javax/naming/InitialContext.html
LinkRef,https://docs.oracle.com/javase/8/docs/api/javax/naming/LinkRef.html
NameClassPair,https://docs.oracle.com/javase/8/docs/api/javax/naming/NameClassPair.html
RefAddr,https://docs.oracle.com/javase/8/docs/api/javax/naming/RefAddr.html
Reference,https://docs.oracle.com/javase/8/docs/api/javax/naming/Reference.html
StringRefAddr,https://docs.oracle.com/javase/8/docs/api/javax/naming/StringRefAddr.html
