ClassName,Method,Return Type
CertPathTrustManagerParameters,getParameters(),CertPathParameters
ExtendedSSLSession,getLocalSupportedSignatureAlgorithms(),abstract String[]
ExtendedSSLSession,getPeerSupportedSignatureAlgorithms(),abstract String[]
ExtendedSSLSession,getRequestedServerNames(),List<SNIServerName>
HandshakeCompletedEvent,getCipherSuite(),String
HandshakeCompletedEvent,getLocalCertificates(),Certificate[]
HandshakeCompletedEvent,getLocalPrincipal(),Principal
HandshakeCompletedEvent,getPeerCertificateChain(),X509Certificate[]
HandshakeCompletedEvent,getPeerCertificates(),Certificate[]
HandshakeCompletedEvent,getPeerPrincipal(),Principal
HandshakeCompletedEvent,getSession(),SSLSession
HandshakeCompletedEvent,getSocket(),SSLSocket
HttpsURLConnection,getCipherSuite(),abstract String
HttpsURLConnection,getDefaultHostnameVerifier(),static HostnameVerifier
HttpsURLConnection,getDefaultSSLSocketFactory(),static SSLSocketFactory
HttpsURLConnection,getHostnameVerifier(),HostnameVerifier
HttpsURLConnection,getLocalCertificates(),abstract Certificate[]
HttpsURLConnection,getLocalPrincipal(),Principal
HttpsURLConnection,getPeerPrincipal(),Principal
HttpsURLConnection,getServerCertificates(),abstract Certificate[]
HttpsURLConnection,getSSLSocketFactory(),SSLSocketFactory
HttpsURLConnection,setDefaultHostnameVerifier(HostnameVerifier v),static void
HttpsURLConnection,setDefaultSSLSocketFactory(SSLSocketFactory sf),static void
HttpsURLConnection,setHostnameVerifier(HostnameVerifier v),void
HttpsURLConnection,setSSLSocketFactory(SSLSocketFactory sf),void
KeyManagerFactory,getAlgorithm(),String
KeyManagerFactory,getDefaultAlgorithm(),static String
KeyManagerFactory,getInstance(String algorithm),static KeyManagerFactory
KeyManagerFactory,"getInstance(String algorithm, Provider provider)",static KeyManagerFactory
KeyManagerFactory,"getInstance(String algorithm, String provider)",static KeyManagerFactory
KeyManagerFactory,getKeyManagers(),KeyManager[]
KeyManagerFactory,getProvider(),Provider
KeyManagerFactory,"init(KeyStore ks, char[] password)",void
KeyManagerFactory,init(ManagerFactoryParameters spec),void
KeyManagerFactorySpi,engineGetKeyManagers(),protected abstract KeyManager[]
KeyManagerFactorySpi,"engineInit(KeyStore ks, char[] password)",protected abstract void
