Sample Number,ClassName,Snippet Number,Method,Exist
0,DocFlavor,1,DocFlavor STRING,False
0,DocFlavor,2,DocFlavor BYTE_ARRAY,False
0,DocFlavor,3,DocFlavor IMAGE,False
0,DocFlavor,4,DocFlavor SERVICE_FORMAT,False
0,DocFlavor,5,DocFlavor URL,False
1,DocFlavor.BYTE_ARRAY,1,boolean add(E e),False
1,DocFlavor.BYTE_ARRAY,2,"void add(int index, E element)",False
1,DocFlavor.BYTE_ARRAY,3,boolean addAll(Collection<? extends E> c),False
1,DocFlavor.BYTE_ARRAY,4,"boolean addAll(int index, Collection<? extends E> c)",False
1,DocFlavor.BYTE_ARRAY,5,void clear(),False
2,DocFlavor.CHAR_ARRAY,1,int length(),False
2,DocFlavor.CHAR_ARRAY,2,char charAt(int index),False
2,DocFlavor.CHAR_ARRAY,3,char[] toCharArray(),False
2,DocFlavor.CHAR_ARRAY,4,String toString(),False
2,DocFlavor.CHAR_ARRAY,5,boolean equals(Object obj),False
3,DocFlavor.INPUT_STREAM,1,DocFlavor INPUT_STREAM,False
3,DocFlavor.INPUT_STREAM,2,DocFlavor BYTE_ARRAY,False
3,DocFlavor.INPUT_STREAM,3,DocFlavor STRING,False
3,DocFlavor.INPUT_STREAM,4,DocFlavor URL,False
3,DocFlavor.INPUT_STREAM,5,DocFlavor DATA_FLASH_MEMORY,False
4,DocFlavor.READER,1,boolean add(E e),False
4,DocFlavor.READER,2,"void add(int index, E element)",False
4,DocFlavor.READER,3,boolean addAll(Collection<? extends E> c),False
4,DocFlavor.READER,4,"boolean addAll(int index, Collection<? extends E> c)",False
4,DocFlavor.READER,5,void clear(),False
5,DocFlavor.SERVICE_FORMATTED,1,boolean add(E e),False
5,DocFlavor.SERVICE_FORMATTED,2,"void add(int index, E element)",False
5,DocFlavor.SERVICE_FORMATTED,3,boolean addAll(Collection<? extends E> c),False
5,DocFlavor.SERVICE_FORMATTED,4,"boolean addAll(int index, Collection<? extends E> c)",False
5,DocFlavor.SERVICE_FORMATTED,5,void clear(),False
6,DocFlavor.STRING,1,boolean add(E e),False
6,DocFlavor.STRING,2,"void add(int index, E element)",False
6,DocFlavor.STRING,3,boolean addAll(Collection<? extends E> c),False
6,DocFlavor.STRING,4,"boolean addAll(int index, Collection<? extends E> c)",False
6,DocFlavor.STRING,5,void clear(),False
7,DocFlavor.URL,1,boolean add(E e),False
7,DocFlavor.URL,2,"void add(int index, E element)",False
7,DocFlavor.URL,3,boolean addAll(Collection<? extends E> c),False
7,DocFlavor.URL,4,"boolean addAll(int index, Collection<? extends E> c)",False
7,DocFlavor.URL,5,void clear(),False
8,PrintServiceLookup,1,PrintServiceLookup.lookupDefaultPrintService(),False
8,PrintServiceLookup,2,"PrintServiceLookup.lookupPrintServices(DocFlavor flavor, PrintServiceAttribute[] attributes)",False
8,PrintServiceLookup,3,"PrintServiceLookup.lookupPrintServices(String name, PrintServiceAttribute[] attributes)",False
8,PrintServiceLookup,4,"PrintServiceLookup.lookupPrintServices(Locale locale, PrintServiceAttribute[] attributes)",False
8,PrintServiceLookup,5,"PrintServiceLookup.lookupPrintServices(Class<? extends PrintService> serviceClass, PrintServiceAttribute[] attributes)",False
9,ServiceUI,1,ServiceUI.printDialog(PrintRequestAttributeSet attrSet),False
9,ServiceUI,2,"ServiceUI.printDialog(PrintRequestAttributeSet attrSet, PrintService printService)",False
9,ServiceUI,3,"ServiceUI.printDialog(PrintRequestAttributeSet attrSet, PrintService printService, PrintServiceLookup printServiceLookup)",False
9,ServiceUI,4,"ServiceUI.printDialog(PrintRequestAttributeSet attrSet, PrintService printService, PrintServiceLookup printServiceLookup, PrintServiceAttributeSet printServiceAttrSet)",False
9,ServiceUI,5,"ServiceUI.printDialog(PrintRequestAttributeSet attrSet, PrintService printService, PrintServiceLookup printServiceLookup, PrintServiceAttributeSet printServiceAttrSet, PrintServiceAttributeSet printServiceAttrSet1)",False
10,ServiceUIFactory,1,ServiceUIFactory.getServiceUIFactory(String serviceName),False
10,ServiceUIFactory,2,"ServiceUIFactory.getServiceUIFactory(String serviceName, Locale locale)",False
10,ServiceUIFactory,3,"ServiceUIFactory.getServiceUIFactory(String serviceName, Locale locale, ClassLoader classLoader)",False
10,ServiceUIFactory,4,"ServiceUIFactory.getServiceUIFactory(String serviceName, ClassLoader classLoader)",False
10,ServiceUIFactory,5,"ServiceUIFactory.getServiceUIFactory(String serviceName, Locale locale, ClassLoader classLoader, Class<?>[] classes)",False
11,SimpleDoc,1,boolean add(E e),False
11,SimpleDoc,2,"void add(int index, E element)",False
11,SimpleDoc,3,boolean addAll(Collection<? extends E> c),False
11,SimpleDoc,4,"boolean addAll(int index, Collection<? extends E> c)",False
11,SimpleDoc,5,void clear(),False
12,StreamPrintService,1,"StreamPrintService(String name, InputStream inputStream)",False
12,StreamPrintService,2,PrintService lookupPrintService(String name),False
12,StreamPrintService,3,"PrintService[] lookupPrintServices(String name, Locale locale)",False
12,StreamPrintService,4,PrintService[] getPrintServices(),False
12,StreamPrintService,5,PrintService[] getPrintServices(Locale locale),False
13,StreamPrintServiceFactory,1,StreamPrintServiceFactory(),False
13,StreamPrintServiceFactory,2,getPrintService(InputStream is),False
13,StreamPrintServiceFactory,3,getPrintService(OutputStream os),False
13,StreamPrintServiceFactory,4,getPrintService(Reader r),False
13,StreamPrintServiceFactory,5,getPrintService(Writer w),False
