Sample Number,ClassName,Snippet Number,Method,Exist
0,Chromaticity,1,Chromaticity.CIEXYZ_TRITONE,False
0,Chromaticity,2,Chromaticity.CIEXYZ_ITU_R_601_2,False
0,Chromaticity,3,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT,False
0,Chromaticity,4,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_A,False
0,Chromaticity,5,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_B,False
0,Chromaticity,6,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_C,False
0,Chromaticity,7,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_D,False
0,Chromaticity,8,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_E,False
0,Chromaticity,9,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_F,False
0,Chromaticity,10,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_G,False
0,Chromaticity,11,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_H,False
0,Chromaticity,12,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_I,False
0,Chromaticity,13,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_J,False
0,Chromaticity,14,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_K,False
0,Chromaticity,15,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_L,False
0,Chromaticity,16,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_M,False
0,Chromaticity,17,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_N,False
0,Chromaticity,18,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_O,False
0,Chromaticity,19,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_P,False
0,Chromaticity,20,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_Q,False
0,Chromaticity,21,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_R,False
0,Chromaticity,22,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_S,False
0,Chromaticity,23,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_T,False
0,Chromaticity,24,Chromaticity.CIEXYZ_ITU_R_601_2_GAMUT_U,False
1,ColorSupported,1,boolean isColorSupported(),False
1,ColorSupported,2,boolean isMonochromeSupported(),False
1,ColorSupported,3,boolean isGrayscaleSupported(),False
1,ColorSupported,4,boolean isDuplexSupported(),False
1,ColorSupported,5,boolean isStapleSupported(),False
2,Compression,1,Compression,False
2,Compression,2,Compression getCompression(),False
2,Compression,3,Compression getCompressionType(),False
2,Compression,4,Compression getCompressionTypes(),False
2,Compression,5,Compression getDefaultCompression(),False
3,Copies,1,Copies(int copies),False
3,Copies,2,int getValue(),False
3,Copies,3,boolean equals(Object obj),True
3,Copies,4,int hashCode(),False
3,Copies,5,String toString(),False
4,CopiesSupported,1,int getValue(),False
4,CopiesSupported,2,boolean isSupported(int copies),False
4,CopiesSupported,3,boolean isSupported(int[] copies),False
4,CopiesSupported,4,boolean isSupported(Integer[] copies),False
4,CopiesSupported,5,boolean isSupported(IntegerRange[] copies),False
5,DateTimeAtCompleted,1,DateTimeAtCompleted,False
5,DateTimeAtCompleted,2,DateTimeAtCompleted(Date dateTime),False
5,DateTimeAtCompleted,3,DateTimeAtCompleted(long dateTime),False
5,DateTimeAtCompleted,4,DateTimeAtCompleted(String dateTime),False
5,DateTimeAtCompleted,5,DateTimeAtCompleted(TimeZone timeZone),False
6,DateTimeAtCreation,1,DateTimeAtCreation(String value),False
6,DateTimeAtCreation,2,DateTimeAtCreation(Date date),False
6,DateTimeAtCreation,3,DateTimeAtCreation(Calendar calendar),False
6,DateTimeAtCreation,4,DateTimeAtCreation(long time),False
6,DateTimeAtCreation,5,DateTimeAtCreation(TimeZone zone),False
7,DateTimeAtProcessing,1,DateTimeAtProcessing,False
7,DateTimeAtProcessing,2,DateTimeAtProcessing,False
7,DateTimeAtProcessing,3,DateTimeAtProcessing,False
7,DateTimeAtProcessing,4,DateTimeAtProcessing,False
7,DateTimeAtProcessing,5,DateTimeAtProcessing,False
8,Destination,1,Destination(String destinationName),False
8,Destination,2,Destination(URI destinationURI),False
8,Destination,3,Destination(Destination destination),False
8,Destination,4,String getName(),True
8,Destination,5,URI getURI(),False
