ClassName,Method,Return Type
ChoiceCallback,allowMultipleSelections(),boolean
ChoiceCallback,getChoices(),String[]
ChoiceCallback,getDefaultChoice(),int
ChoiceCallback,getPrompt(),String
ChoiceCallback,getSelectedIndexes(),int[]
ChoiceCallback,setSelectedIndex(int selection),void
ChoiceCallback,setSelectedIndexes(int[] selections),void
ConfirmationCallback,getDefaultOption(),int
ConfirmationCallback,getMessageType(),int
ConfirmationCallback,getOptions(),String[]
ConfirmationCallback,getOptionType(),int
ConfirmationCallback,getPrompt(),String
ConfirmationCallback,getSelectedIndex(),int
ConfirmationCallback,setSelectedIndex(int selection),void
LanguageCallback,getLocale(),Locale
LanguageCallback,setLocale(Locale locale),void
NameCallback,getDefaultName(),String
NameCallback,getName(),String
NameCallback,getPrompt(),String
NameCallback,setName(String name),void
PasswordCallback,clearPassword(),void
PasswordCallback,getPassword(),char[]
PasswordCallback,getPrompt(),String
PasswordCallback,isEchoOn(),boolean
PasswordCallback,setPassword(char[] password),void
TextInputCallback,getDefaultText(),String
TextInputCallback,getPrompt(),String
TextInputCallback,getText(),String
TextInputCallback,setText(String text),void
TextOutputCallback,getMessage(),String
TextOutputCallback,getMessageType(),int
