ClassName,Method,Return Type
Certificate,equals(Object other),boolean
Certificate,getEncoded(),abstract byte[]
Certificate,getPublicKey(),abstract PublicKey
Certificate,hashCode(),int
Certificate,toString(),abstract String
Certificate,verify(PublicKey key),abstract void
Certificate,"verify(PublicKey key, String sigProvider)",abstract void
X509Certificate,checkValidity(),abstract void
X509Certificate,checkValidity(Date date),abstract void
X509Certificate,getInstance(byte[] certData),static X509Certificate
X509Certificate,getInstance(InputStream inStream),static X509Certificate
X509Certificate,getIssuerDN(),abstract Principal
X509Certificate,getNotAfter(),abstract Date
X509Certificate,getNotBefore(),abstract Date
X509Certificate,getSerialNumber(),abstract BigInteger
X509Certificate,getSigAlgName(),abstract String
X509Certificate,getSigAlgOID(),abstract String
X509Certificate,getSigAlgParams(),abstract byte[]
X509Certificate,getSubjectDN(),abstract Principal
X509Certificate,getVersion(),abstract int
