Sample Number,ClassName,Snippet Number,Method,Exist
0,AuthorizeCallback,1,"boolean authorize(String[] mechanisms, int index)",False
0,AuthorizeCallback,2,void setAuthorizationID(String authorizationID),False
0,AuthorizeCallback,3,void setAuthorized(boolean authorized),True
0,AuthorizeCallback,4,void setAuthorizationFailure(String failure),False
0,AuthorizeCallback,5,void setAuthorizationIDs(String[] authorizationIDs),False
1,RealmCallback,1,boolean hasCallback(int callbackID),False
1,RealmCallback,2,Object[] getCallbacks(int callbackID),False
1,RealmCallback,3,void setName(String name),False
1,RealmCallback,4,String getName(),False
1,RealmCallback,5,String getPassword(),False
1,RealmCallback,6,void dispose(),False
2,RealmChoiceCallback,1,boolean setRealm(String realm),False
2,RealmChoiceCallback,2,String[] getRealms(),False
2,RealmChoiceCallback,3,void setState(int state),False
2,RealmChoiceCallback,4,int getState(),False
2,RealmChoiceCallback,5,void setName(String name),False
2,RealmChoiceCallback,6,String getName(),False
2,RealmChoiceCallback,7,void setUsage(int usage),False
2,RealmChoiceCallback,8,int getUsage(),False
2,RealmChoiceCallback,9,void setAuthorizedIDs(String[] authorizedIDs),False
2,RealmChoiceCallback,10,String[] getAuthorizedIDs(),False
3,Sasl,1,boolean hasNext(),False
3,Sasl,2,E next(),False
3,Sasl,3,boolean hasPrevious(),False
3,Sasl,4,E previous(),False
3,Sasl,5,int nextIndex(),False
3,Sasl,6,int previousIndex(),False
3,Sasl,7,void remove(),False
3,Sasl,8,void set(E e),False
3,Sasl,9,void add(E e),False
3,Sasl,10,void forEachRemaining(Consumer<? super E> action),False
