Sample Number,ClassName,Snippet Number,Method,Exist
0,AbstractAction,1,boolean add(E e),False
0,AbstractAction,2,"void add(int index, E element)",False
0,AbstractAction,3,boolean addAll(Collection<? extends E> c),False
0,AbstractAction,4,boolean remove(Object o),False
0,AbstractAction,5,E remove(int index),False
1,AbstractButton,1,void setSelected(boolean b),True
1,AbstractButton,2,boolean isSelected(),True
1,AbstractButton,3,void setActionCommand(String command),True
1,AbstractButton,4,String getActionCommand(),True
1,AbstractButton,5,void setEnabled(boolean b),True
2,AbstractCellEditor,1,boolean isCellEditable(EventObject anEvent),True
2,AbstractCellEditor,2,Object getCellEditorValue(),False
2,AbstractCellEditor,3,void cancelCellEditing(),True
2,AbstractCellEditor,4,void addCellEditorListener(CellEditorListener l),True
2,AbstractCellEditor,5,void removeCellEditorListener(CellEditorListener l),True
3,AbstractListModel,1,int getSize(),False
3,AbstractListModel,2,E getElementAt(int index),False
3,AbstractListModel,3,void addElement(E obj),False
3,AbstractListModel,4,E removeElementAt(int index),False
3,AbstractListModel,5,"void insertElementAt(E obj, int index)",False
4,AbstractSpinnerModel,1,boolean isCircular(),False
4,AbstractSpinnerModel,2,void setCircular(boolean circular),False
4,AbstractSpinnerModel,3,Object getNextValue(),False
4,AbstractSpinnerModel,4,Object getPreviousValue(),False
4,AbstractSpinnerModel,5,Object getValue(),False
5,ActionMap,1,ActionMap getActionMap(),False
5,ActionMap,2,void setActionMap(ActionMap a),False
5,ActionMap,3,Action get(Object key),True
5,ActionMap,4,"Action put(Object key, Action value)",False
5,ActionMap,5,Action remove(Object key),False
6,BorderFactory,1,"Border createEmptyBorder(int top, int left, int bottom, int right)",True
6,BorderFactory,2,"Border createBevelBorder(int bevelType, Color highlight, Color shadow)",True
6,BorderFactory,3,"Border createMatteBorder(int top, int left, int bottom, int right, Color matte)",False
6,BorderFactory,4,"Border createLineBorder(Color lineColor, int thickness)",True
6,BorderFactory,5,"Border createSoftBevelBorder(int bevelType, Color highlight, Color shadow)",True
7,Box,1,boolean add(E e),False
7,Box,2,"void add(int index, E element)",False
7,Box,3,boolean addAll(Collection<? extends E> c),False
7,Box,4,"boolean addAll(int index, Collection<? extends E> c)",False
7,Box,5,void clear(),False
8,Box.Filler,1,boolean add(E e),False
8,Box.Filler,2,"void add(int index, E element)",False
8,Box.Filler,3,boolean addAll(Collection<? extends E> c),False
8,Box.Filler,4,"boolean addAll(int index, Collection<? extends E> c)",False
8,Box.Filler,5,void clear(),False
9,BoxLayout,1,boolean add(E e),False
9,BoxLayout,2,void add(Component comp),False
9,BoxLayout,3,"void add(Component comp, Object constraints)",False
9,BoxLayout,4,"void add(Component comp, Object constraints, int index)",False
9,BoxLayout,5,"void add(Component comp, Object constraints, int index, double weightx, double weighty, int fill)",False
10,ButtonGroup,1,boolean add(E e),False
10,ButtonGroup,2,"boolean add(int index, E e)",False
10,ButtonGroup,3,void clear(),False
10,ButtonGroup,4,boolean contains(E e),False
10,ButtonGroup,5,E get(int index),False
10,ButtonGroup,6,int indexOf(E e),False
10,ButtonGroup,7,boolean isEmpty(),False
10,ButtonGroup,8,E remove(int index),False
10,ButtonGroup,9,boolean remove(E e),False
10,ButtonGroup,10,"E set(int index, E e)",False
10,ButtonGroup,11,int size(),False
10,ButtonGroup,12,"List<E> subList(int fromIndex, int toIndex)",False
11,CellRendererPane,1,void add(Component comp),False
11,CellRendererPane,2,"void add(String name, Component comp)",False
11,CellRendererPane,3,Component getComponent(String name),False
11,CellRendererPane,4,Component[] getComponents(),False
11,CellRendererPane,5,Component remove(String name),False
12,ComponentInputMap,1,boolean add(E e),False
12,ComponentInputMap,2,"void add(int index, E element)",False
12,ComponentInputMap,3,boolean addAll(Collection<? extends E> c),False
