FileName,Compilable,Runnable,Correct
AbstractCellEditor_1,False,False,False
ActionMap_3,True,True,True
BorderFactory_1,True,False,False
BorderFactory_2,True,False,False
BorderFactory_4,True,False,False
BorderFactory_5,True,False,False
ComponentInputMap_5,False,False,False
DefaultBoundedRangeModel_2,True,True,True
DefaultBoundedRangeModel_3,True,True,True
DefaultBoundedRangeModel_4,True,True,True
DefaultBoundedRangeModel_5,True,True,True
DefaultBoundedRangeModel_6,True,True,True
DefaultButtonModel_1,True,True,True
DefaultButtonModel_3,True,True,True
DefaultButtonModel_4,True,True,True
DefaultButtonModel_7,True,True,True
DefaultButtonModel_8,True,True,True
DefaultButtonModel_9,True,True,True
DefaultButtonModel_10,True,True,True
DefaultListModel_2,False,False,False
DefaultListModel_5,True,True,True
DefaultListSelectionModel_1,True,True,True
DefaultListSelectionModel_2,True,True,True
DefaultListSelectionModel_3,False,False,False
DefaultListSelectionModel_4,True,True,True
DefaultListSelectionModel_5,True,True,True
DefaultSingleSelectionModel_5,False,False,False
GroupLayout_1,False,False,False
GroupLayout_2,False,False,False
InputMap_5,False,False,False
InputVerifier_1,True,False,False
InputVerifier_2,False,False,False
JCheckBoxMenuItem_3,True,False,False
JComboBox_4,True,True,True
JComboBox_5,True,True,True
JEditorPane_1,True,True,True
JEditorPane_2,True,True,True
JEditorPane_3,False,False,False
JEditorPane_4,True,False,False
JEditorPane_5,True,True,True
JFileChooser_1,True,True,True
JFileChooser_2,True,True,True
JFileChooser_3,True,True,True
JFileChooser_4,True,True,True
JFileChooser_5,True,True,True
JFormattedTextField_4,True,True,True
JFormattedTextField_5,True,True,True
JFrame_3,True,False,False
JInternalFrame_2,True,True,True
JInternalFrame_3,True,True,True
JInternalFrame_4,True,True,True
JInternalFrame_5,True,True,True
JInternalFrame_6,False,False,False
JInternalFrame_8,True,False,False
JInternalFrame_14,True,True,True
JInternalFrame_16,False,False,False
JInternalFrame_17,True,True,True
JInternalFrame_18,False,False,False
JInternalFrame_20,False,False,False
JLabel_1,True,True,True
JLabel_2,True,True,True
JLabel_3,True,False,False
JLabel_4,True,True,True
JLabel_5,True,True,True
JList_DropLocation_2,False,False,False
JList_DropLocation_4,False,False,False
JMenuBar_5,True,True,True
JMenuItem_5,True,True,True
JPasswordField_1,True,False,False
JPasswordField_2,True,True,True
JPasswordField_3,True,True,True
JRootPane_3,True,False,False
JRootPane_4,True,False,False
JScrollBar_1,True,False,False
JScrollBar_2,True,True,True
JScrollBar_3,False,False,False
JScrollBar_4,True,True,True
JScrollBar_5,True,True,True
JScrollPane_2,True,False,False
JScrollPane_4,True,False,False
JScrollPane_7,True,True,True
JScrollPane_8,True,True,True
JSeparator_1,True,False,False
JSeparator_2,True,True,True
JSpinner_1,True,True,True
JSpinner_2,True,True,True
JSpinner_3,True,True,True
JSpinner_4,True,True,True
JSpinner_5,True,True,True
JSpinner_6,True,True,True
JSpinner_8,True,True,True
JSpinner_10,True,True,True
JSpinner_DefaultEditor_5,False,False,False
JTabbedPane_3,True,True,True
JTabbedPane_4,True,False,False
JTabbedPane_5,True,False,False
JTabbedPane_6,True,False,False
JTabbedPane_7,False,False,False
JTabbedPane_8,True,False,False
JTabbedPane_9,True,True,True
JTabbedPane_10,True,True,True
JTabbedPane_11,True,False,False
JTabbedPane_12,True,False,False
JTabbedPane_15,False,False,False
JTabbedPane_16,True,True,True
JTabbedPane_17,True,False,False
JTabbedPane_18,False,False,False
JTabbedPane_23,True,False,False
JTabbedPane_24,True,False,False
JTabbedPane_27,False,False,False
JTabbedPane_28,True,True,True
JTabbedPane_29,True,False,False
JTabbedPane_30,False,False,False
JTabbedPane_35,True,False,False
JTabbedPane_36,True,False,False
JTabbedPane_39,False,False,False
JTabbedPane_40,True,True,True
JTabbedPane_41,True,False,False
JTable_1,True,True,True
JTable_2,True,True,True
JTable_3,True,False,False
JTable_6,True,True,True
JTable_7,False,False,False
JTable_8,True,True,True
JTable_9,True,False,False
JTable_11,True,True,True
JTable_12,True,True,True
JTable_13,True,True,True
JTable_15,True,True,True
JTable_DropLocation_1,False,False,False
JTable_DropLocation_2,False,False,False
JTextArea_1,True,True,True
JTextArea_2,True,True,True
JTextField_4,True,True,True
JTextField_5,True,True,True
JToolTip_1,False,False,False
JToolTip_2,True,True,True
JTree_DropLocation_2,True,False,False
JViewport_1,True,False,False
JViewport_2,True,True,True
JViewport_3,True,False,False
JViewport_4,True,False,False
JViewport_5,True,False,False
JViewport_6,True,False,False
JViewport_12,True,False,False
JViewport_22,False,False,False
JViewport_23,False,False,False
JViewport_28,True,False,False
JViewport_29,True,False,False
JViewport_30,True,False,False
JViewport_31,True,False,False
JViewport_37,True,False,False
JViewport_47,False,False,False
JViewport_48,False,False,False
KeyStroke_1,True,True,True
KeyStroke_3,False,False,False
KeyStroke_5,False,False,False
ProgressMonitor_2,True,False,False
ProgressMonitor_4,True,True,True
ProgressMonitor_5,True,False,False
ProgressMonitor_7,True,True,True
RepaintManager_4,True,True,True
RepaintManager_10,False,False,False
RowSorter_4,False,False,False
ScrollPaneLayout_5,True,False,False
SpinnerDateModel_3,True,True,True
SpinnerDateModel_4,True,True,True
SpinnerDateModel_5,False,False,False
SpinnerDateModel_12,True,True,True
SpinnerDateModel_13,True,True,True
SpinnerDateModel_15,True,True,True
SpinnerDateModel_17,False,False,False
SpinnerNumberModel_2,True,True,True
SpinnerNumberModel_3,True,True,True
SpringLayout_1,True,False,False
SpringLayout_2,True,False,False
SwingUtilities_1,True,True,True
SwingUtilities_2,False,False,False
SwingUtilities_3,True,True,True
SwingWorker_1,True,True,True
SwingWorker_3,True,True,True
SwingWorker_4,True,True,True
Timer_2,True,True,True
Timer_3,True,True,True
Timer_4,True,True,True
Timer_5,True,True,True
ToolTipManager_1,True,True,True
ToolTipManager_2,True,True,True
ToolTipManager_4,True,True,True
ToolTipManager_5,False,False,False
TransferHandler_3,False,False,False
TransferHandler_4,False,False,False
UIDefaults_1,False,False,False
UIDefaults_2,True,True,True
UIManager_1,True,False,False
