ClassName,Method,Return Type
AbstractBorder,"getBaseline(Component c, int width, int height)",int
AbstractBorder,getBaselineResizeBehavior(Component c),Component.BaselineResizeBehavior
AbstractBorder,getBorderInsets(Component c),Insets
AbstractBorder,"getBorderInsets(Component c, Insets insets)",Insets
AbstractBorder,"getInteriorRectangle(Component c, Border b, int x, int y, int width, int height)",static Rectangle
AbstractBorder,"getInteriorRectangle(Component c, int x, int y, int width, int height)",Rectangle
AbstractBorder,isBorderOpaque(),boolean
AbstractBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
BevelBorder,getBevelType(),int
BevelBorder,"getBorderInsets(Component c, Insets insets)",Insets
BevelBorder,getHighlightInnerColor(),Color
BevelBorder,getHighlightInnerColor(Component c),Color
BevelBorder,getHighlightOuterColor(),Color
BevelBorder,getHighlightOuterColor(Component c),Color
BevelBorder,getShadowInnerColor(),Color
BevelBorder,getShadowInnerColor(Component c),Color
BevelBorder,getShadowOuterColor(),Color
BevelBorder,getShadowOuterColor(Component c),Color
BevelBorder,isBorderOpaque(),boolean
BevelBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
BevelBorder,"paintLoweredBevel(Component c, Graphics g, int x, int y, int width, int height)",protected void
BevelBorder,"paintRaisedBevel(Component c, Graphics g, int x, int y, int width, int height)",protected void
CompoundBorder,"getBorderInsets(Component c, Insets insets)",Insets
CompoundBorder,getInsideBorder(),Border
CompoundBorder,getOutsideBorder(),Border
CompoundBorder,isBorderOpaque(),boolean
CompoundBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
EmptyBorder,getBorderInsets(),Insets
EmptyBorder,"getBorderInsets(Component c, Insets insets)",Insets
EmptyBorder,isBorderOpaque(),boolean
EmptyBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
EtchedBorder,"getBorderInsets(Component c, Insets insets)",Insets
EtchedBorder,getEtchType(),int
EtchedBorder,getHighlightColor(),Color
EtchedBorder,getHighlightColor(Component c),Color
EtchedBorder,getShadowColor(),Color
EtchedBorder,getShadowColor(Component c),Color
EtchedBorder,isBorderOpaque(),boolean
EtchedBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
LineBorder,createBlackLineBorder(),static Border
LineBorder,createGrayLineBorder(),static Border
LineBorder,"getBorderInsets(Component c, Insets insets)",Insets
LineBorder,getLineColor(),Color
LineBorder,getRoundedCorners(),boolean
LineBorder,getThickness(),int
LineBorder,isBorderOpaque(),boolean
LineBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
MatteBorder,getBorderInsets(),Insets
MatteBorder,"getBorderInsets(Component c, Insets insets)",Insets
MatteBorder,getMatteColor(),Color
MatteBorder,getTileIcon(),Icon
MatteBorder,isBorderOpaque(),boolean
MatteBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
SoftBevelBorder,"getBorderInsets(Component c, Insets insets)",Insets
SoftBevelBorder,isBorderOpaque(),boolean
SoftBevelBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
StrokeBorder,"getBorderInsets(Component c, Insets insets)",Insets
StrokeBorder,getPaint(),Paint
StrokeBorder,getStroke(),BasicStroke
StrokeBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
TitledBorder,"getBaseline(Component c, int width, int height)",int
TitledBorder,getBaselineResizeBehavior(Component c),Component.BaselineResizeBehavior
TitledBorder,getBorder(),Border
TitledBorder,"getBorderInsets(Component c, Insets insets)",Insets
TitledBorder,getFont(Component c),protected Font
TitledBorder,getMinimumSize(Component c),Dimension
TitledBorder,getTitle(),String
TitledBorder,getTitleColor(),Color
TitledBorder,getTitleFont(),Font
TitledBorder,getTitleJustification(),int
TitledBorder,getTitlePosition(),int
TitledBorder,isBorderOpaque(),boolean
TitledBorder,"paintBorder(Component c, Graphics g, int x, int y, int width, int height)",void
TitledBorder,setBorder(Border border),void
TitledBorder,setTitle(String title),void
TitledBorder,setTitleColor(Color titleColor),void
TitledBorder,setTitleFont(Font titleFont),void
TitledBorder,setTitleJustification(int titleJustification),void
TitledBorder,setTitlePosition(int titlePosition),void
