Sample Number,ClassName,Snippet Number,Method,Exist
0,AbstractRegionPainter,1,"void paint(Graphics g, JComponent c, Rectangle bounds)",False
0,AbstractRegionPainter,2,"void paintBorder(Graphics g, JComponent c, Rectangle bounds)",False
0,AbstractRegionPainter,3,"void paintFocus(Graphics g, JComponent c, Rectangle bounds)",False
0,AbstractRegionPainter,4,"void paintSelection(Graphics g, JComponent c, Rectangle bounds)",False
0,AbstractRegionPainter,5,"void paintText(Graphics g, JComponent c, Rectangle bounds)",False
1,AbstractRegionPainter.PaintContext,1,"void add(int index, E element)",False
1,AbstractRegionPainter.PaintContext,2,boolean addAll(Collection<? extends E> c),False
1,AbstractRegionPainter.PaintContext,3,"boolean addAll(int index, Collection<? extends E> c)",False
1,AbstractRegionPainter.PaintContext,4,void clear(),False
1,AbstractRegionPainter.PaintContext,5,boolean contains(Object o),False
1,AbstractRegionPainter.PaintContext,6,E get(int index),False
1,AbstractRegionPainter.PaintContext,7,int indexOf(Object o),False
1,AbstractRegionPainter.PaintContext,8,boolean isEmpty(),False
1,AbstractRegionPainter.PaintContext,9,E remove(int index),False
1,AbstractRegionPainter.PaintContext,10,boolean remove(Object o),False
1,AbstractRegionPainter.PaintContext,11,"E set(int index, E element)",False
1,AbstractRegionPainter.PaintContext,12,int size(),False
1,AbstractRegionPainter.PaintContext,13,"List<E> subList(int fromIndex, int toIndex)",False
1,AbstractRegionPainter.PaintContext,14,Object[] toArray(),False
1,AbstractRegionPainter.PaintContext,15,<T> T[] toArray(T[] a),False
2,NimbusLookAndFeel,1,void setEnabled(boolean enabled),False
2,NimbusLookAndFeel,2,void setInheritable(boolean inheritable),False
2,NimbusLookAndFeel,3,void setVisible(boolean visible),False
2,NimbusLookAndFeel,4,void setFocusable(boolean focusable),False
2,NimbusLookAndFeel,5,void setFocusPainted(boolean focusPainted),False
3,NimbusStyle,1,void setLookAndFeel(String className),False
3,NimbusStyle,2,"void setFrameBorder(JFrame frame, String title)",False
3,NimbusStyle,3,"void setButtonText(JButton button, String text)",False
3,NimbusStyle,4,"void setLabelText(JLabel label, String text)",False
3,NimbusStyle,5,"void setComboBoxItems(JComboBox comboBox, String[] items)",False
4,State,1,boolean isDefault(),False
4,State,2,boolean isInactive(),False
4,State,3,boolean isActive(),False
4,State,4,boolean isSelected(),False
4,State,5,boolean isPressed(),False
