ClassName,Method,Return Type
AbstractRegionPainter,configureGraphics(Graphics2D g),protected void
AbstractRegionPainter,"decodeAnchorX(float x, float dx)",protected float
AbstractRegionPainter,"decodeAnchorY(float y, float dy)",protected float
AbstractRegionPainter,"decodeColor(Color color1, Color color2, float midPoint)",protected Color
AbstractRegionPainter,"decodeColor(String key, float hOffset, float sOffset, float bOffset, int aOffset)",protected Color
AbstractRegionPainter,"decodeGradient(float x1, float y1, float x2, float y2, float[] midpoints, Color[] colors)",protected LinearGradientPaint
AbstractRegionPainter,"decodeRadialGradient(float x, float y, float r, float[] midpoints, Color[] colors)",protected RadialGradientPaint
AbstractRegionPainter,decodeX(float x),protected float
AbstractRegionPainter,decodeY(float y),protected float
AbstractRegionPainter,"doPaint(Graphics2D g, JComponent c, int width, int height, Object[] extendedCacheKeys)",protected abstract void
AbstractRegionPainter,"getComponentColor(JComponent c, String property, Color defaultColor, float saturationOffset, float brightnessOffset, int alphaOffset)",protected Color
AbstractRegionPainter,getExtendedCacheKeys(JComponent c),protected Object[]
AbstractRegionPainter,getPaintContext(),protected abstract AbstractRegionPainter.PaintContext
AbstractRegionPainter,"paint(Graphics2D g, JComponent c, int w, int h)",void
NimbusLookAndFeel,getDefaults(),UIDefaults
NimbusLookAndFeel,"getDerivedColor(Color color1, Color color2, float midPoint)",protected Color
NimbusLookAndFeel,"getDerivedColor(Color color1, Color color2, float midPoint, boolean uiResource)",protected Color
NimbusLookAndFeel,"getDerivedColor(String uiDefaultParentName, float hOffset, float sOffset, float bOffset, int aOffset, boolean uiResource)",Color
NimbusLookAndFeel,getDescription(),String
NimbusLookAndFeel,"getDisabledIcon(JComponent component, Icon icon)",Icon
NimbusLookAndFeel,getID(),String
NimbusLookAndFeel,getName(),String
NimbusLookAndFeel,"getStyle(JComponent c, Region r)",static NimbusStyle
NimbusLookAndFeel,initialize(),void
NimbusLookAndFeel,"register(Region region, String prefix)",void
NimbusLookAndFeel,shouldUpdateStyleOnAncestorChanged(),boolean
NimbusLookAndFeel,shouldUpdateStyleOnEvent(PropertyChangeEvent ev),protected boolean
NimbusLookAndFeel,uninitialize(),void
NimbusStyle,"get(SynthContext ctx, Object key)",Object
NimbusStyle,getBackgroundPainter(SynthContext ctx),Painter
NimbusStyle,getBorderPainter(SynthContext ctx),Painter
NimbusStyle,"getColorForState(SynthContext ctx, ColorType type)",protected Color
NimbusStyle,getFontForState(SynthContext ctx),protected Font
NimbusStyle,getForegroundPainter(SynthContext ctx),Painter
NimbusStyle,"getInsets(SynthContext ctx, Insets in)",Insets
NimbusStyle,getPainter(SynthContext ctx),SynthPainter
NimbusStyle,installDefaults(SynthContext ctx),void
NimbusStyle,isOpaque(SynthContext ctx),boolean
State,isInState(T c),protected abstract boolean
State,toString(),String
