Sample Number,ClassName,Snippet Number,Method,Exist
0,ColorType,1,ColorType getColorType(Color color),False
0,ColorType,2,ColorType getColorType(int rgb),False
0,ColorType,3,"ColorType getColorType(int r, int g, int b)",False
0,ColorType,4,"ColorType getColorType(int r, int g, int b, int a)",False
0,ColorType,5,"ColorType getColorType(float r, float g, float b)",False
0,ColorType,6,"ColorType getColorType(float r, float g, float b, float a)",False
1,Region,1,boolean isFocusable(),False
1,Region,2,void setFocusable(boolean b),False
1,Region,3,boolean isOpaque(),False
1,Region,4,void setOpaque(boolean b),False
1,Region,5,boolean isSelected(),False
1,Region,6,void setSelected(boolean b),False
1,Region,7,boolean isEnabled(),False
1,Region,8,void setEnabled(boolean b),False
1,Region,9,boolean isVisible(),False
1,Region,10,void setVisible(boolean b),False
1,Region,11,boolean isTransparent(),False
1,Region,12,void setTransparent(boolean b),False
1,Region,13,boolean isPaintable(),False
1,Region,14,void setPaintable(boolean b),False
1,Region,15,boolean isPaintBorder(),False
1,Region,16,void setPaintBorder(boolean b),False
1,Region,17,boolean isPaintFocus(),False
1,Region,18,void setPaintFocus(boolean b),False
1,Region,19,boolean isPaintHighlight(),False
1,Region,20,void setPaintHighlight(boolean b),False
1,Region,21,boolean isPaintContent(),False
1,Region,22,void setPaintContent(boolean b),False
1,Region,23,boolean isPaintChildren(),False
1,Region,24,void setPaintChildren(boolean b),False
1,Region,25,boolean isPaintGrab(),False
1,Region,26,void setPaintGrab(boolean b),False
1,Region,27,boolean isPaintGrabHighlight(),False
1,Region,28,void setPaintGrabHighlight(boolean b),False
1,Region,29,boolean isPaintGrabFocus(),False
1,Region,30,void setPaintGrabFocus(boolean b),False
1,Region,31,boolean isPaintGrabContent(),False
1,Region,32,void setPaintGrabContent(boolean b),False
1,Region,33,boolean isPaintGrabChildren(),False
1,Region,34,void setPaintGrabChildren(boolean b),False
1,Region,35,boolean isPaintGrabBorder(),False
1,Region,36,void setPaintGrabBorder(boolean b),False
1,Region,37,boolean isPaintGrabFocusBorder(),False
1,Region,38,void setPaintGrabFocusBorder(boolean b),False
1,Region,39,boolean isPaintGrabHighlightBorder(),False
1,Region,40,void setPaintGrabHighlightBorder(boolean b),False
1,Region,41,boolean isPaintGrabContentBorder(),False
1,Region,42,void setPaintGrabContentBorder(boolean b),False
1,Region,43,boolean isPaintGrabChildrenBorder(),False
1,Region,44,void setPaintGrabChildrenBorder(boolean b),False
1,Region,45,boolean isPaintGrabFocusHighlight(),False
1,Region,46,void setPaintGrabFocusHighlight(boolean b),False
1,Region,47,boolean isPaintGrabHighlightContent(),False
1,Region,48,void setPaintGrabHighlightContent(boolean b),False
1,Region,49,boolean isPaintGrabChildrenContent(),False
1,Region,50,void setPaintGrabChildrenContent(boolean b),False
1,Region,51,boolean isPaintGrabBorderHighlight(),False
2,SynthButtonUI,1,void setArrowType(int arrowType),False
2,SynthButtonUI,2,void setArrowPosition(int arrowPosition),False
2,SynthButtonUI,3,void setProgress(int progress),False
2,SynthButtonUI,4,void setState(int state),False
2,SynthButtonUI,5,void setPaintingCallback(PaintingCallback callback),False
3,SynthCheckBoxMenuItemUI,1,boolean isSelected(),False
3,SynthCheckBoxMenuItemUI,2,void setSelected(boolean b),False
3,SynthCheckBoxMenuItemUI,3,void setSelectedTextColor(Color c),False
3,SynthCheckBoxMenuItemUI,4,void setSelectedIcon(Icon icon),False
3,SynthCheckBoxMenuItemUI,5,void setSelectedText(String s),False
4,SynthCheckBoxUI,1,boolean isSelected(),False
4,SynthCheckBoxUI,2,void setSelected(boolean b),False
4,SynthCheckBoxUI,3,void setModel(ButtonModel newModel),False
4,SynthCheckBoxUI,4,ButtonModel getModel(),False
4,SynthCheckBoxUI,5,"void update(Graphics g, JComponent c)",False
5,SynthColorChooserUI,1,"SynthColorChooserUI(ColorModel model, JComponent parent)",False
5,SynthColorChooserUI,2,void setColor(Color color),False
5,SynthColorChooserUI,3,Color getColor(),False
5,SynthColorChooserUI,4,void setPreviewPanel(JComponent preview),False
5,SynthColorChooserUI,5,JComponent getPreviewPanel(),False
6,SynthComboBoxUI,1,boolean add(E e),False
6,SynthComboBoxUI,2,void addItem(Object item),False
6,SynthComboBoxUI,3,"void addItem(Object item, int index)",False
6,SynthComboBoxUI,4,void removeItem(Object item),False
6,SynthComboBoxUI,5,Object getSelectedItem(),False
7,SynthContext,1,SynthContext.getStyle(Component c),False
7,SynthContext,2,"SynthContext.getStyle(Component c, String styleName)",False
7,SynthContext,3,"SynthContext.getStyle(Component c, String styleName, String styleClass)",False
7,SynthContext,4,"SynthContext.getStyle(Component c, String styleName, String styleClass, String styleParent)",False
7,SynthContext,5,"SynthContext.getStyle(Component c, String styleName, String styleClass, String styleParent, String styleParentClass)",False
8,SynthDesktopIconUI,1,void installDefaults(JComponent c),False
8,SynthDesktopIconUI,2,void uninstallDefaults(JComponent c),False
8,SynthDesktopIconUI,3,"void paint(Graphics g, JComponent c)",True
8,SynthDesktopIconUI,4,void uninstall(JComponent c),False
8,SynthDesktopIconUI,5,void install(JComponent c),False
9,SynthDesktopPaneUI,1,void addNotify(),False
9,SynthDesktopPaneUI,2,void removeNotify(),False
9,SynthDesktopPaneUI,3,void paint(Graphics g),False
9,SynthDesktopPaneUI,4,void updateUI(),False
9,SynthDesktopPaneUI,5,void installUI(JComponent c),False
9,SynthDesktopPaneUI,6,void uninstallUI(JComponent c),False
9,SynthDesktopPaneUI,7,void installDefaults(JComponent c),False
9,SynthDesktopPaneUI,8,void uninstallDefaults(JComponent c),False
9,SynthDesktopPaneUI,9,void installFocus(JComponent c),False
9,SynthDesktopPaneUI,10,void uninstallFocus(JComponent c),False
9,SynthDesktopPaneUI,11,void installRootPane(JRootPane rp),False
9,SynthDesktopPaneUI,12,void uninstallRootPane(JRootPane rp),False
9,SynthDesktopPaneUI,13,void installComponents(JComponent c),False
9,SynthDesktopPaneUI,14,void uninstallComponents(JComponent c),False
9,SynthDesktopPaneUI,15,void installComponents(JComponent c),False
9,SynthDesktopPaneUI,16,void uninstallComponents(JComponent c),False
9,SynthDesktopPaneUI,17,void installComponents(JComponent c),False
9,SynthDesktopPaneUI,18,void uninstallComponents(JComponent c),False
9,SynthDesktopPaneUI,19,void installComponents(JComponent c),False
9,SynthDesktopPaneUI,20,void uninstallComponents(JComponent c),False
10,SynthEditorPaneUI,1,void setText(String text),False
10,SynthEditorPaneUI,2,String getText(),False
10,SynthEditorPaneUI,3,void setEditable(boolean b),False
10,SynthEditorPaneUI,4,boolean isEditable(),False
10,SynthEditorPaneUI,5,void setContentType(String type),False
11,SynthFormattedTextFieldUI,1,void installDefaults(JComponent c),False
11,SynthFormattedTextFieldUI,2,void uninstallDefaults(JComponent c),False
11,SynthFormattedTextFieldUI,3,"void paint(Graphics g, JComponent c)",False
11,SynthFormattedTextFieldUI,4,"void update(Graphics g, JComponent c)",False
11,SynthFormattedTextFieldUI,5,void installUI(JComponent c),False
12,SynthGraphicsUtils,1,"void drawLine(Graphics g, int x1, int y1, int x2, int y2)",False
12,SynthGraphicsUtils,2,"void drawRect(Graphics g, int x, int y, int width, int height)",False
