ClassName,Method,Return Type
AbstractLayoutCache,"getBounds(TreePath path, Rectangle placeIn)",abstract Rectangle
AbstractLayoutCache,getExpandedState(TreePath path),abstract boolean
AbstractLayoutCache,getModel(),TreeModel
AbstractLayoutCache,getNodeDimensions(),AbstractLayoutCache.NodeDimensions
AbstractLayoutCache,"getNodeDimensions(Object value, int row, int depth, boolean expanded, Rectangle placeIn)",protected Rectangle
AbstractLayoutCache,"getPathClosestTo(int x, int y)",abstract TreePath
AbstractLayoutCache,getPathForRow(int row),abstract TreePath
AbstractLayoutCache,getPreferredHeight(),int
AbstractLayoutCache,getPreferredWidth(Rectangle bounds),int
AbstractLayoutCache,getRowCount(),abstract int
AbstractLayoutCache,getRowForPath(TreePath path),abstract int
AbstractLayoutCache,getRowHeight(),int
AbstractLayoutCache,getRowsForPaths(TreePath[] paths),int[]
AbstractLayoutCache,getSelectionModel(),TreeSelectionModel
AbstractLayoutCache,getVisibleChildCount(TreePath path),abstract int
AbstractLayoutCache,getVisiblePathsFrom(TreePath path),abstract Enumeration<TreePath>
AbstractLayoutCache,invalidatePathBounds(TreePath path),abstract void
AbstractLayoutCache,invalidateSizes(),abstract void
AbstractLayoutCache,isExpanded(TreePath path),abstract boolean
AbstractLayoutCache,isFixedRowHeight(),protected boolean
AbstractLayoutCache,isRootVisible(),boolean
AbstractLayoutCache,"setExpandedState(TreePath path, boolean isExpanded)",abstract void
AbstractLayoutCache,setModel(TreeModel newModel),void
AbstractLayoutCache,setNodeDimensions(AbstractLayoutCache.NodeDimensions nd),void
AbstractLayoutCache,setRootVisible(boolean rootVisible),void
AbstractLayoutCache,setRowHeight(int rowHeight),void
AbstractLayoutCache,setSelectionModel(TreeSelectionModel newLSM),void
AbstractLayoutCache,treeNodesChanged(TreeModelEvent e),abstract void
AbstractLayoutCache,treeNodesInserted(TreeModelEvent e),abstract void
AbstractLayoutCache,treeNodesRemoved(TreeModelEvent e),abstract void
AbstractLayoutCache,treeStructureChanged(TreeModelEvent e),abstract void
AbstractLayoutCache.NodeDimensions,"getNodeDimensions(Object value, int row, int depth, boolean expanded, Rectangle bounds)",abstract Rectangle
DefaultMutableTreeNode,add(MutableTreeNode newChild),void
DefaultMutableTreeNode,breadthFirstEnumeration(),Enumeration
DefaultMutableTreeNode,children(),Enumeration
DefaultMutableTreeNode,clone(),Object
DefaultMutableTreeNode,depthFirstEnumeration(),Enumeration
DefaultMutableTreeNode,getAllowsChildren(),boolean
DefaultMutableTreeNode,getChildAfter(TreeNode aChild),TreeNode
DefaultMutableTreeNode,getChildAt(int index),TreeNode
DefaultMutableTreeNode,getChildBefore(TreeNode aChild),TreeNode
DefaultMutableTreeNode,getChildCount(),int
DefaultMutableTreeNode,getDepth(),int
DefaultMutableTreeNode,getFirstChild(),TreeNode
DefaultMutableTreeNode,getFirstLeaf(),DefaultMutableTreeNode
DefaultMutableTreeNode,getIndex(TreeNode aChild),int
DefaultMutableTreeNode,getLastChild(),TreeNode
DefaultMutableTreeNode,getLastLeaf(),DefaultMutableTreeNode
DefaultMutableTreeNode,getLeafCount(),int
DefaultMutableTreeNode,getLevel(),int
DefaultMutableTreeNode,getNextLeaf(),DefaultMutableTreeNode
DefaultMutableTreeNode,getNextNode(),DefaultMutableTreeNode
DefaultMutableTreeNode,getNextSibling(),DefaultMutableTreeNode
DefaultMutableTreeNode,getParent(),TreeNode
DefaultMutableTreeNode,getPath(),TreeNode[]
DefaultMutableTreeNode,"getPathToRoot(TreeNode aNode, int depth)",protected TreeNode[]
DefaultMutableTreeNode,getPreviousLeaf(),DefaultMutableTreeNode
DefaultMutableTreeNode,getPreviousNode(),DefaultMutableTreeNode
DefaultMutableTreeNode,getPreviousSibling(),DefaultMutableTreeNode
DefaultMutableTreeNode,getRoot(),TreeNode
DefaultMutableTreeNode,getSharedAncestor(DefaultMutableTreeNode aNode),TreeNode
DefaultMutableTreeNode,getSiblingCount(),int
DefaultMutableTreeNode,getUserObject(),Object
DefaultMutableTreeNode,getUserObjectPath(),Object[]
DefaultMutableTreeNode,"insert(MutableTreeNode newChild, int childIndex)",void
DefaultMutableTreeNode,isLeaf(),boolean
DefaultMutableTreeNode,isNodeAncestor(TreeNode anotherNode),boolean
DefaultMutableTreeNode,isNodeChild(TreeNode aNode),boolean
DefaultMutableTreeNode,isNodeDescendant(DefaultMutableTreeNode anotherNode),boolean
DefaultMutableTreeNode,isNodeRelated(DefaultMutableTreeNode aNode),boolean
DefaultMutableTreeNode,isNodeSibling(TreeNode anotherNode),boolean
DefaultMutableTreeNode,isRoot(),boolean
DefaultMutableTreeNode,pathFromAncestorEnumeration(TreeNode ancestor),Enumeration
DefaultMutableTreeNode,postorderEnumeration(),Enumeration
DefaultMutableTreeNode,preorderEnumeration(),Enumeration
DefaultMutableTreeNode,remove(int childIndex),void
DefaultMutableTreeNode,remove(MutableTreeNode aChild),void
DefaultMutableTreeNode,removeAllChildren(),void
DefaultMutableTreeNode,removeFromParent(),void
DefaultMutableTreeNode,setAllowsChildren(boolean allows),void
DefaultMutableTreeNode,setParent(MutableTreeNode newParent),void
DefaultMutableTreeNode,setUserObject(Object userObject),void
DefaultMutableTreeNode,toString(),String
