Sample Number,ClassName,Snippet Number,Method,Exist
0,AttachmentMarshaller,1,boolean add(E e),False
0,AttachmentMarshaller,2,"void add(int index, E element)",False
0,AttachmentMarshaller,3,boolean addAll(Collection<? extends E> c),False
0,AttachmentMarshaller,4,"boolean addAll(int index, Collection<? extends E> c)",False
0,AttachmentMarshaller,5,void clear(),False
1,AttachmentUnmarshaller,1,AttachmentUnmarshaller.getAttachment(String id),False
1,AttachmentUnmarshaller,2,AttachmentUnmarshaller.getAttachments(),False
1,AttachmentUnmarshaller,3,AttachmentUnmarshaller.removeAttachment(String id),False
1,AttachmentUnmarshaller,4,"AttachmentUnmarshaller.setAttachment(String id, Object value)",False
1,AttachmentUnmarshaller,5,"AttachmentUnmarshaller.setAttachments(Map<String, Object> attachments)",False
