Sample Number,ClassName,Snippet Number,Method,Exist
0,AbstractMarshallerImpl,1,boolean add(E e),False
0,AbstractMarshallerImpl,2,"void add(int index, E element)",False
0,AbstractMarshallerImpl,3,boolean addAll(Collection<? extends E> c),False
0,AbstractMarshallerImpl,4,"boolean addAll(int index, Collection<? extends E> c)",False
0,AbstractMarshallerImpl,5,void clear(),False
1,AbstractUnmarshallerImpl,1,boolean add(E e),False
1,AbstractUnmarshallerImpl,2,"void add(int index, E element)",False
1,AbstractUnmarshallerImpl,3,boolean addAll(Collection<? extends E> c),False
1,AbstractUnmarshallerImpl,4,"boolean addAll(int index, Collection<? extends E> c)",False
1,AbstractUnmarshallerImpl,5,void clear(),False
2,DefaultValidationEventHandler,1,boolean handleEvent(ValidationEvent event),True
2,DefaultValidationEventHandler,2,void reset(),False
2,DefaultValidationEventHandler,3,void setEventHandler(ValidationEventHandler eventHandler),False
2,DefaultValidationEventHandler,4,void warning(ValidationEvent event),False
2,DefaultValidationEventHandler,5,void error(ValidationEvent event),False
3,NotIdentifiableEventImpl,1,boolean add(E e),False
3,NotIdentifiableEventImpl,2,boolean addAll(Collection<? extends E> c),False
3,NotIdentifiableEventImpl,3,void clear(),False
3,NotIdentifiableEventImpl,4,boolean contains(Object o),False
3,NotIdentifiableEventImpl,5,boolean containsAll(Collection<?> c),False
3,NotIdentifiableEventImpl,6,boolean equals(Object o),False
3,NotIdentifiableEventImpl,7,E get(int index),False
3,NotIdentifiableEventImpl,8,int indexOf(Object o),False
3,NotIdentifiableEventImpl,9,boolean isEmpty(),False
3,NotIdentifiableEventImpl,10,Iterator<E> iterator(),False
3,NotIdentifiableEventImpl,11,int lastIndexOf(Object o),False
3,NotIdentifiableEventImpl,12,ListIterator<E> listIterator(),False
3,NotIdentifiableEventImpl,13,ListIterator<E> listIterator(int index),False
3,NotIdentifiableEventImpl,14,boolean remove(Object o),False
3,NotIdentifiableEventImpl,15,E remove(int index),False
3,NotIdentifiableEventImpl,16,boolean removeAll(Collection<?> c),False
3,NotIdentifiableEventImpl,17,boolean retainAll(Collection<?> c),False
3,NotIdentifiableEventImpl,18,"E set(int index, E element)",False
3,NotIdentifiableEventImpl,19,int size(),False
3,NotIdentifiableEventImpl,20,"List<E> subList(int fromIndex, int toIndex)",False
4,ParseConversionEventImpl,1,boolean add(E e),False
4,ParseConversionEventImpl,2,"void add(int index, E element)",False
4,ParseConversionEventImpl,3,boolean addAll(Collection<? extends E> c),False
4,ParseConversionEventImpl,4,"boolean addAll(int index, Collection<? extends E> c)",False
4,ParseConversionEventImpl,5,void clear(),False
5,PrintConversionEventImpl,1,boolean add(E e),False
5,PrintConversionEventImpl,2,void clear(),False
5,PrintConversionEventImpl,3,boolean contains(Object o),False
5,PrintConversionEventImpl,4,boolean remove(Object o),False
5,PrintConversionEventImpl,5,E remove(int index),False
6,ValidationEventImpl,1,boolean add(E e),False
6,ValidationEventImpl,2,boolean addAll(Collection<? extends E> c),False
6,ValidationEventImpl,3,void clear(),False
6,ValidationEventImpl,4,boolean contains(Object o),False
6,ValidationEventImpl,5,boolean containsAll(Collection<?> c),False
6,ValidationEventImpl,6,boolean equals(Object o),False
6,ValidationEventImpl,7,E get(int index),False
6,ValidationEventImpl,8,int indexOf(Object o),False
6,ValidationEventImpl,9,boolean isEmpty(),False
6,ValidationEventImpl,10,Iterator<E> iterator(),False
6,ValidationEventImpl,11,int lastIndexOf(Object o),False
6,ValidationEventImpl,12,ListIterator<E> listIterator(),False
6,ValidationEventImpl,13,ListIterator<E> listIterator(int index),False
6,ValidationEventImpl,14,E remove(int index),False
6,ValidationEventImpl,15,boolean remove(Object o),False
6,ValidationEventImpl,16,boolean removeAll(Collection<?> c),False
6,ValidationEventImpl,17,boolean retainAll(Collection<?> c),False
6,ValidationEventImpl,18,"E set(int index, E element)",False
6,ValidationEventImpl,19,int size(),False
6,ValidationEventImpl,20,"List<E> subList(int fromIndex, int toIndex)",False
7,ValidationEventLocatorImpl,1,boolean contains(Object o),False
7,ValidationEventLocatorImpl,2,boolean remove(Object o),False
7,ValidationEventLocatorImpl,3,boolean addAll(Collection<? extends E> c),False
7,ValidationEventLocatorImpl,4,boolean removeAll(Collection<?> c),False
7,ValidationEventLocatorImpl,5,boolean retainAll(Collection<?> c),False
