ClassName,Method,Return Type
DocumentBuilder,getDOMImplementation(),abstract DOMImplementation
DocumentBuilder,getSchema(),Schema
DocumentBuilder,isNamespaceAware(),abstract boolean
DocumentBuilder,isValidating(),abstract boolean
DocumentBuilder,isXIncludeAware(),boolean
DocumentBuilder,newDocument(),abstract Document
DocumentBuilder,parse(File f),Document
DocumentBuilder,parse(InputSource is),abstract Document
DocumentBuilder,parse(InputStream is),Document
DocumentBuilder,"parse(InputStream is, String systemId)",Document
DocumentBuilder,parse(String uri),Document
DocumentBuilder,reset(),void
DocumentBuilder,setEntityResolver(EntityResolver er),abstract void
DocumentBuilder,setErrorHandler(ErrorHandler eh),abstract void
DocumentBuilderFactory,getAttribute(String name),abstract Object
DocumentBuilderFactory,getFeature(String name),abstract boolean
DocumentBuilderFactory,getSchema(),Schema
DocumentBuilderFactory,isCoalescing(),boolean
DocumentBuilderFactory,isExpandEntityReferences(),boolean
DocumentBuilderFactory,isIgnoringComments(),boolean
DocumentBuilderFactory,isIgnoringElementContentWhitespace(),boolean
DocumentBuilderFactory,isNamespaceAware(),boolean
DocumentBuilderFactory,isValidating(),boolean
DocumentBuilderFactory,isXIncludeAware(),boolean
DocumentBuilderFactory,newDocumentBuilder(),abstract DocumentBuilder
DocumentBuilderFactory,newInstance(),static DocumentBuilderFactory
DocumentBuilderFactory,"newInstance(String factoryClassName, ClassLoader classLoader)",static DocumentBuilderFactory
DocumentBuilderFactory,"setAttribute(String name, Object value)",abstract void
DocumentBuilderFactory,setCoalescing(boolean coalescing),void
DocumentBuilderFactory,setExpandEntityReferences(boolean expandEntityRef),void
DocumentBuilderFactory,"setFeature(String name, boolean value)",abstract void
DocumentBuilderFactory,setIgnoringComments(boolean ignoreComments),void
DocumentBuilderFactory,setIgnoringElementContentWhitespace(boolean whitespace),void
DocumentBuilderFactory,setNamespaceAware(boolean awareness),void
DocumentBuilderFactory,setSchema(Schema schema),void
DocumentBuilderFactory,setValidating(boolean validating),void
DocumentBuilderFactory,setXIncludeAware(boolean state),void
SAXParser,getParser(),abstract Parser
SAXParser,getProperty(String name),abstract Object
SAXParser,getSchema(),Schema
SAXParser,getXMLReader(),abstract XMLReader
SAXParser,isNamespaceAware(),abstract boolean
SAXParser,isValidating(),abstract boolean
SAXParser,isXIncludeAware(),boolean
SAXParser,"parse(File f, DefaultHandler dh)",void
SAXParser,"parse(File f, HandlerBase hb)",void
SAXParser,"parse(InputSource is, DefaultHandler dh)",void
SAXParser,"parse(InputSource is, HandlerBase hb)",void
SAXParser,"parse(InputStream is, DefaultHandler dh)",void
SAXParser,"parse(InputStream is, DefaultHandler dh, String systemId)",void
SAXParser,"parse(InputStream is, HandlerBase hb)",void
SAXParser,"parse(InputStream is, HandlerBase hb, String systemId)",void
SAXParser,"parse(String uri, DefaultHandler dh)",void
SAXParser,"parse(String uri, HandlerBase hb)",void
SAXParser,reset(),void
SAXParser,"setProperty(String name, Object value)",abstract void
SAXParserFactory,getFeature(String name),abstract boolean
SAXParserFactory,getSchema(),Schema
SAXParserFactory,isNamespaceAware(),boolean
SAXParserFactory,isValidating(),boolean
SAXParserFactory,isXIncludeAware(),boolean
SAXParserFactory,newInstance(),static SAXParserFactory
SAXParserFactory,"newInstance(String factoryClassName, ClassLoader classLoader)",static SAXParserFactory
SAXParserFactory,newSAXParser(),abstract SAXParser
SAXParserFactory,"setFeature(String name, boolean value)",abstract void
SAXParserFactory,setNamespaceAware(boolean awareness),void
SAXParserFactory,setSchema(Schema schema),void
SAXParserFactory,setValidating(boolean validating),void
SAXParserFactory,setXIncludeAware(boolean state),void
