ClassName,URL
_IDLTypeStub,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/_IDLTypeStub.html
_PolicyStub,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/_PolicyStub.html
Any,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/Any.html
AnyHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/AnyHolder.html
AnySeqHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/AnySeqHelper.html
AnySeqHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/AnySeqHolder.html
BooleanHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/BooleanHolder.html
BooleanSeqHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/BooleanSeqHelper.html
BooleanSeqHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/BooleanSeqHolder.html
ByteHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/ByteHolder.html
CharHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/CharHolder.html
CharSeqHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/CharSeqHelper.html
CharSeqHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/CharSeqHolder.html
CompletionStatus,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/CompletionStatus.html
CompletionStatusHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/CompletionStatusHelper.html
Context,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/Context.html
ContextList,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/ContextList.html
CurrentHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/CurrentHelper.html
CurrentHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/CurrentHolder.html
DefinitionKind,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/DefinitionKind.html
DefinitionKindHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/DefinitionKindHelper.html
DoubleHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/DoubleHolder.html
DoubleSeqHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/DoubleSeqHelper.html
DoubleSeqHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/DoubleSeqHolder.html
DynamicImplementation,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/DynamicImplementation.html
Environment,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/Environment.html
ExceptionList,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/ExceptionList.html
FieldNameHelper,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/FieldNameHelper.html
FixedHolder,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/FixedHolder.html
