Sample Number,ClassName,Snippet Number,Method,Exist
0,AlreadyBoundHelper,1,AlreadyBoundHelper.getAlreadyBoundHelper(),False
0,AlreadyBoundHelper,2,AlreadyBoundHelper.getAlreadyBoundHelper(String id),False
0,AlreadyBoundHelper,3,"AlreadyBoundHelper.getAlreadyBoundHelper(String id, String kind)",False
0,AlreadyBoundHelper,4,"AlreadyBoundHelper.getAlreadyBoundHelper(String id, String kind, String name)",False
0,AlreadyBoundHelper,5,"AlreadyBoundHelper.getAlreadyBoundHelper(String id, String kind, String name, String context)",False
1,AlreadyBoundHolder,1,AlreadyBoundHolder,False
1,AlreadyBoundHolder,2,AlreadyBoundException,False
1,AlreadyBoundHolder,3,BindingHolder,False
1,AlreadyBoundHolder,4,Binding,False
1,AlreadyBoundHolder,5,BindingIterator,False
1,AlreadyBoundHolder,6,BindingIteratorHolder,False
1,AlreadyBoundHolder,7,BindingIteratorOperations,False
1,AlreadyBoundHolder,8,BindingIteratorOperationsHelper,False
1,AlreadyBoundHolder,9,BindingIteratorOperationsNonImplementableStub,False
1,AlreadyBoundHolder,10,BindingIteratorOperationsStub,False
1,AlreadyBoundHolder,11,BindingIteratorOperationsStubSkeleton,False
1,AlreadyBoundHolder,12,BindingIteratorOperationsStubSkeletonOperations,False
1,AlreadyBoundHolder,13,BindingIteratorOperationsStubSkeletonOperationsHelper,False
1,AlreadyBoundHolder,14,BindingIteratorOperationsStubSkeletonOperationsNonImplementableStub,False
1,AlreadyBoundHolder,15,BindingIteratorOperationsStubSkeletonOperationsStub,False
1,AlreadyBoundHolder,16,BindingIteratorOperationsStubSkeletonOperationsStubSkeleton,False
1,AlreadyBoundHolder,17,BindingIteratorOperationsStubSkeletonOperationsStubSkeletonOperations,False
1,AlreadyBoundHolder,18,BindingIteratorOperationsStubSkeletonOperationsStubSkeletonOperationsHelper,False
1,AlreadyBoundHolder,19,BindingIteratorOperationsStubSkeletonOperationsStubSkeletonOperationsNonImplementableStub,False
1,AlreadyBoundHolder,20,BindingIteratorOperationsStubSkeletonOperationsStubSkeletonOperationsStub,False
2,CannotProceedHelper,1,"void bind(Name name, Binding binding)",False
2,CannotProceedHelper,2,BindingList list(Name name),False
2,CannotProceedHelper,3,"void rebind(Name name, Binding binding)",False
2,CannotProceedHelper,4,void unbind(Name name),False
2,CannotProceedHelper,5,Name parse_name(String name),False
2,CannotProceedHelper,6,String name(Name name),False
2,CannotProceedHelper,7,void destroy(),False
2,CannotProceedHelper,8,"void initialize(ORB orb, String name)",False
2,CannotProceedHelper,9,"void initialize(ORB orb, String name, String[] args)",False
2,CannotProceedHelper,10,"void initialize(ORB orb, String name, String[] args, String[] env)",False
2,CannotProceedHelper,11,"void initialize(ORB orb, String name, String[] args, String[] env, String[] config)",False
2,CannotProceedHelper,12,"void initialize(ORB orb, String name, String[] args, String[] env, String[] config, String[] codebase)",False
2,CannotProceedHelper,13,"void initialize(ORB orb, String name, String[] args, String[] env, String[] config, String[] codebase, String[] code_spec_versions)",False
2,CannotProceedHelper,14,"void initialize(ORB orb, String name, String[] args, String[] env, String[] config, String[] codebase, String[] code_spec_versions, String[] ior)",False
2,CannotProceedHelper,15,"void initialize(ORB orb, String name, String[] args, String[] env, String[] config, String[] codebase, String[] code_spec_versions, String[] ior, String[] adapter_id)",False
3,CannotProceedHolder,1,void set_context_ev(),False
3,CannotProceedHolder,2,void set_min_proceed(),False
3,CannotProceedHolder,3,void set_proceed_status(),False
3,CannotProceedHolder,4,void set_retry_delay(),False
3,CannotProceedHolder,5,void set_suspend_interval(),False
4,InvalidNameHelper,1,InvalidNameHelper.is_context(String name),False
4,InvalidNameHelper,2,InvalidNameHelper.is_name(String name),False
4,InvalidNameHelper,3,InvalidNameHelper.is_valid(String name),False
4,InvalidNameHelper,4,InvalidNameHelper.to_url(String name),False
4,InvalidNameHelper,5,InvalidNameHelper.to_string(String name),False
5,InvalidNameHolder,1,InvalidNameHolder,False
5,InvalidNameHolder,2,InvalidNameHolder(String name),False
5,InvalidNameHolder,3,void setName(String name),False
5,InvalidNameHolder,4,void _set(String name),False
5,InvalidNameHolder,5,String _get(),False
6,NotEmptyHelper,1,boolean isEmpty(),False
6,NotEmptyHelper,2,int size(),False
6,NotEmptyHelper,3,boolean contains(Object o),False
6,NotEmptyHelper,4,Object get(int index),False
6,NotEmptyHelper,5,Object remove(int index),False
7,NotEmptyHolder,1,void setValue(T value),False
7,NotEmptyHolder,2,T getValue(),False
7,NotEmptyHolder,3,boolean isNull(),False
7,NotEmptyHolder,4,void setNull(),False
7,NotEmptyHolder,5,boolean isEmpty(),False
8,NotFoundHelper,1,org.omg.CosNaming.NamingContextPackage.NotFoundHelper.notFound(),False
8,NotFoundHelper,2,org.omg.CosNaming.NamingContextPackage.NotFoundHelper.notEmpty(),False
8,NotFoundHelper,3,org.omg.CosNaming.NamingContextPackage.NotFoundHelper.invalidName(),False
8,NotFoundHelper,4,org.omg.CosNaming.NamingContextPackage.NotFoundHelper.alreadyBound(),False
8,NotFoundHelper,5,org.omg.CosNaming.NamingContextPackage.NotFoundHelper.notBound(),False
9,NotFoundHolder,1,org.omg.CosNaming.NamingContextPackage.NotFoundHolder,False
9,NotFoundHolder,2,org.omg.CosNaming.NamingContextPackage.NotFoundHolder,False
9,NotFoundHolder,3,org.omg.CosNaming.NamingContextPackage.NotFoundHolder,False
9,NotFoundHolder,4,org.omg.CosNaming.NamingContextPackage.NotFoundHolder,False
9,NotFoundHolder,5,org.omg.CosNaming.NamingContextPackage.NotFoundHolder,False
10,NotFoundReason,1,final int NOT_FOUND,False
10,NotFoundReason,2,final int CONTEXT_EXISTS,False
10,NotFoundReason,3,final int INVALID_NAME,False
10,NotFoundReason,4,final int INVALID_ADDRESS,False
10,NotFoundReason,5,final int INVALID_TYPE,False
11,NotFoundReasonHelper,1,int value(int reason),False
11,NotFoundReasonHelper,2,int from_int(int value),False
11,NotFoundReasonHelper,3,String to_string(int reason),False
11,NotFoundReasonHelper,4,int from_string(String value),False
11,NotFoundReasonHelper,5,int _bound(int reason),False
11,NotFoundReasonHelper,6,int _max(int reason),False
11,NotFoundReasonHelper,7,int _min(int reason),False
11,NotFoundReasonHelper,8,int _unknown(int reason),False
11,NotFoundReasonHelper,9,int _not_found(int reason),False
11,NotFoundReasonHelper,10,int _not_supported(int reason),False
11,NotFoundReasonHelper,11,int _not_unique(int reason),False
11,NotFoundReasonHelper,12,int _not_empty(int reason),False
11,NotFoundReasonHelper,13,int _not_allowed(int reason),False
11,NotFoundReasonHelper,14,int _not_allowed_by_security(int reason),False
11,NotFoundReasonHelper,15,int _not_allowed_by_policy(int reason),False
11,NotFoundReasonHelper,16,int _not_allowed_by_admin(int reason),False
11,NotFoundReasonHelper,17,int _not_allowed_by_security_policy(int reason),False
11,NotFoundReasonHelper,18,int _not_allowed_by_security_admin(int reason),False
11,NotFoundReasonHelper,19,int _not_allowed_by_security_context(int reason),False
11,NotFoundReasonHelper,20,int _not_allowed_by_security_system(int reason),False
11,NotFoundReasonHelper,21,int _not_allowed_by_security_domain(int reason),False
11,NotFoundReasonHelper,22,int _not_allowed_by_security_service(int reason),False
11,NotFoundReasonHelper,23,int _not_allowed_by_security_service_context(int reason),False
11,NotFoundReasonHelper,24,int _not_allowed_by_security_service_system(int reason),False
11,NotFoundReasonHelper,25,int _not_allowed_by_security_service_domain(int reason),False
11,NotFoundReasonHelper,26,int _not_allowed_by_security_service_admin(int reason),False
