ClassName,Method,Return Type
AdapterManagerIdHelper,extract(Any a),static int
AdapterManagerIdHelper,id(),static String
AdapterManagerIdHelper,"insert(Any a, int that)",static void
AdapterManagerIdHelper,read(InputStream istream),static int
AdapterManagerIdHelper,type(),static TypeCode
AdapterManagerIdHelper,"write(OutputStream ostream, int value)",static void
AdapterNameHelper,extract(Any a),static String[]
AdapterNameHelper,id(),static String
AdapterNameHelper,"insert(Any a, String[] that)",static void
AdapterNameHelper,read(InputStream istream),static String[]
AdapterNameHelper,type(),static TypeCode
AdapterNameHelper,"write(OutputStream ostream, String[] value)",static void
AdapterStateHelper,extract(Any a),static short
AdapterStateHelper,id(),static String
AdapterStateHelper,"insert(Any a, short that)",static void
AdapterStateHelper,read(InputStream istream),static short
AdapterStateHelper,type(),static TypeCode
AdapterStateHelper,"write(OutputStream ostream, short value)",static void
CurrentHelper,extract(Any a),static Current
CurrentHelper,id(),static String
CurrentHelper,"insert(Any a, Current that)",static void
CurrentHelper,narrow(Object obj),static Current
CurrentHelper,read(InputStream istream),static Current
CurrentHelper,type(),static TypeCode
CurrentHelper,unchecked_narrow(Object obj),static Current
CurrentHelper,"write(OutputStream ostream, Current value)",static void
ForwardRequestHelper,extract(Any a),static ForwardRequest
ForwardRequestHelper,id(),static String
ForwardRequestHelper,"insert(Any a, ForwardRequest that)",static void
ForwardRequestHelper,read(InputStream istream),static ForwardRequest
ForwardRequestHelper,type(),static TypeCode
ForwardRequestHelper,"write(OutputStream ostream, ForwardRequest value)",static void
InvalidSlotHelper,extract(Any a),static InvalidSlot
InvalidSlotHelper,id(),static String
InvalidSlotHelper,"insert(Any a, InvalidSlot that)",static void
InvalidSlotHelper,read(InputStream istream),static InvalidSlot
InvalidSlotHelper,type(),static TypeCode
InvalidSlotHelper,"write(OutputStream ostream, InvalidSlot value)",static void
IORInterceptor_3_0Helper,extract(Any a),static IORInterceptor_3_0
IORInterceptor_3_0Helper,id(),static String
IORInterceptor_3_0Helper,"insert(Any a, IORInterceptor_3_0 that)",static void
IORInterceptor_3_0Helper,narrow(Object obj),static IORInterceptor_3_0
IORInterceptor_3_0Helper,read(InputStream istream),static IORInterceptor_3_0
IORInterceptor_3_0Helper,type(),static TypeCode
IORInterceptor_3_0Helper,unchecked_narrow(Object obj),static IORInterceptor_3_0
IORInterceptor_3_0Helper,"write(OutputStream ostream, IORInterceptor_3_0 value)",static void
IORInterceptor_3_0Holder,_read(InputStream i),void
IORInterceptor_3_0Holder,_type(),TypeCode
IORInterceptor_3_0Holder,_write(OutputStream o),void
ObjectIdHelper,extract(Any a),static byte[]
ObjectIdHelper,id(),static String
ObjectIdHelper,"insert(Any a, byte[] that)",static void
ObjectIdHelper,read(InputStream istream),static byte[]
ObjectIdHelper,type(),static TypeCode
ObjectIdHelper,"write(OutputStream ostream, byte[] value)",static void
ObjectReferenceFactoryHelper,extract(Any a),static ObjectReferenceFactory
ObjectReferenceFactoryHelper,id(),static String
ObjectReferenceFactoryHelper,"insert(Any a, ObjectReferenceFactory that)",static void
ObjectReferenceFactoryHelper,read(InputStream istream),static ObjectReferenceFactory
ObjectReferenceFactoryHelper,type(),static TypeCode
ObjectReferenceFactoryHelper,"write(OutputStream ostream, ObjectReferenceFactory value)",static void
ObjectReferenceFactoryHolder,_read(InputStream i),void
ObjectReferenceFactoryHolder,_type(),TypeCode
ObjectReferenceFactoryHolder,_write(OutputStream o),void
ObjectReferenceTemplateHelper,extract(Any a),static ObjectReferenceTemplate
ObjectReferenceTemplateHelper,id(),static String
ObjectReferenceTemplateHelper,"insert(Any a, ObjectReferenceTemplate that)",static void
ObjectReferenceTemplateHelper,read(InputStream istream),static ObjectReferenceTemplate
ObjectReferenceTemplateHelper,type(),static TypeCode
ObjectReferenceTemplateHelper,"write(OutputStream ostream, ObjectReferenceTemplate value)",static void
ObjectReferenceTemplateHolder,_read(InputStream i),void
ObjectReferenceTemplateHolder,_type(),TypeCode
ObjectReferenceTemplateHolder,_write(OutputStream o),void
ObjectReferenceTemplateSeqHelper,extract(Any a),static ObjectReferenceTemplate[]
ObjectReferenceTemplateSeqHelper,id(),static String
ObjectReferenceTemplateSeqHelper,"insert(Any a, ObjectReferenceTemplate[] that)",static void
ObjectReferenceTemplateSeqHelper,read(InputStream istream),static ObjectReferenceTemplate[]
ObjectReferenceTemplateSeqHelper,type(),static TypeCode
ObjectReferenceTemplateSeqHelper,"write(OutputStream ostream, ObjectReferenceTemplate[] value)",static void
ObjectReferenceTemplateSeqHolder,_read(InputStream i),void
ObjectReferenceTemplateSeqHolder,_type(),TypeCode
ObjectReferenceTemplateSeqHolder,_write(OutputStream o),void
ORBIdHelper,extract(Any a),static String
ORBIdHelper,id(),static String
ORBIdHelper,"insert(Any a, String that)",static void
ORBIdHelper,read(InputStream istream),static String
ORBIdHelper,type(),static TypeCode
ORBIdHelper,"write(OutputStream ostream, String value)",static void
ServerIdHelper,extract(Any a),static String
ServerIdHelper,id(),static String
ServerIdHelper,"insert(Any a, String that)",static void
ServerIdHelper,read(InputStream istream),static String
ServerIdHelper,type(),static TypeCode
ServerIdHelper,"write(OutputStream ostream, String value)",static void
