Sample Number,ClassName,Snippet Number,Method,Exist
0,HandlerBase,1,boolean add(E e),False
0,HandlerBase,2,"void add(int index, E element)",False
0,HandlerBase,3,boolean addAll(Collection<? extends E> c),False
0,HandlerBase,4,"boolean addAll(int index, Collection<? extends E> c)",False
0,HandlerBase,5,void clear(),False
1,InputSource,1,boolean isCertified(),False
1,InputSource,2,boolean isStandalone(),False
1,InputSource,3,boolean isXML(),False
1,InputSource,4,boolean isValidating(),False
1,InputSource,5,boolean isWriting(),False
